model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse
blstm,gb1,r0,1.0,0,train,0.9966067341593677,0.9932178886422229,0.00108751637754583
blstm,gb1,r0,1.0,0,test,0.9833173268067138,0.9667445938176003,0.004990546141440669
blstm,gb1,r0,0.8,0,train,0.9957852784042608,0.9912639956593262,0.0014229379371403063
blstm,gb1,r0,0.8,0,test,0.981188307122507,0.9626797523203005,0.005593092211832603
blstm,gb1,r0,0.6,0,train,0.9958507843177459,0.991494404957635,0.0013758577681275913
blstm,gb1,r0,0.6,0,test,0.9779348604788113,0.9556693594994994,0.006637474987655878
blstm,gb1,r0,0.4,0,train,0.9916747217678339,0.9825840006276766,0.0027031994347150126
blstm,gb1,r0,0.4,0,test,0.9664981317646607,0.9333608384226753,0.009987228301664193
blstm,gb1,r0,0.2,0,train,0.9845444952397562,0.969244495240151,0.004839774337597191
blstm,gb1,r0,0.2,0,test,0.9401285555193432,0.8837759976317435,0.01737092137336731
blstm,gb1,r1,1.0,0,train,0.997280232706463,0.9944976501446737,0.0008845937781635735
blstm,gb1,r1,1.0,0,test,0.9836644974276101,0.9675913267649573,0.004892280232161284
blstm,gb1,r1,0.8,0,train,0.9952845945693037,0.9905597239425596,0.0015397180897243163
blstm,gb1,r1,0.8,0,test,0.9818368321080057,0.9638503555687677,0.005412698971728484
blstm,gb1,r1,0.6,0,train,0.9956466536421709,0.9912318470652935,0.001399970579061321
blstm,gb1,r1,0.6,0,test,0.9778952981514397,0.9561496161212936,0.0065426327909032505
blstm,gb1,r1,0.4,0,train,0.9930693746541197,0.9861005328739222,0.0021527424420734556
blstm,gb1,r1,0.4,0,test,0.9688101807705807,0.937983954665279,0.00929691009223461
blstm,gb1,r1,0.2,0,train,0.9877526390133726,0.975310007259041,0.0038727924111299217
blstm,gb1,r1,0.2,0,test,0.9440919391577692,0.8908273677494846,0.016292514962454638
blstm,gb1,r2,1.0,0,train,0.9979497262610747,0.9958849313345998,0.0006600364340248249
blstm,gb1,r2,1.0,0,test,0.9846730096230725,0.9692396928314226,0.004614762356504798
blstm,gb1,r2,0.8,0,train,0.9947283692085912,0.9894663721169792,0.0017189056478797437
blstm,gb1,r2,0.8,0,test,0.9818688451755426,0.9638449992516803,0.005408821177358429
blstm,gb1,r2,0.6,0,train,0.9937045678253278,0.9871193649415915,0.0020516291397143505
blstm,gb1,r2,0.6,0,test,0.9753277337678019,0.951044433812126,0.007266018011917671
blstm,gb1,r2,0.4,0,train,0.991143962414339,0.9823187040640872,0.0027538190721922242
blstm,gb1,r2,0.4,0,test,0.966260297067524,0.9336076379162459,0.009938462047527234
blstm,gb1,r2,0.2,0,train,0.9855817109025494,0.971252681133771,0.0045210004318505526
blstm,gb1,r2,0.2,0,test,0.9419446607888073,0.8871623262573869,0.016840671934187413
blstm,gb1,r3,1.0,0,train,0.9972496015693706,0.9944061398253181,0.000896732629695118
blstm,gb1,r3,1.0,0,test,0.9838855967578969,0.9678387850470882,0.004849157218510906
blstm,gb1,r3,0.8,0,train,0.9960859341748262,0.9921836489605435,0.0012742528763718586
blstm,gb1,r3,0.8,0,test,0.9819704496059936,0.9637167064794948,0.005427941307425499
blstm,gb1,r3,0.6,0,train,0.9954642417709321,0.9907460514837209,0.0014813895557179218
blstm,gb1,r3,0.6,0,test,0.9771962162262458,0.954455456983956,0.006777300064762433
blstm,gb1,r3,0.4,0,train,0.9903970091259043,0.9804896386044325,0.0030414121720241383
blstm,gb1,r3,0.4,0,test,0.9654245891887002,0.9316012908553463,0.010266606354465087
blstm,gb1,r3,0.2,0,train,0.9872151598365828,0.973539455629681,0.004159527345715712
blstm,gb1,r3,0.2,0,test,0.9436876732884709,0.8897983669679939,0.01643091260145108
cnn,gb1,r0,1.0,0,train,0.9938444176450774,0.9877031347170215,0.001985214486860244
cnn,gb1,r0,1.0,0,test,0.9737362782964897,0.9481199970190156,0.007830207950125139
cnn,gb1,r0,0.8,0,train,0.9917486525144789,0.983468215743517,0.0026969257519243563
cnn,gb1,r0,0.8,0,test,0.9715120472049185,0.9436687904258102,0.008453665704776844
cnn,gb1,r0,0.6,0,train,0.990216259627283,0.9795718536900593,0.0033860361501057115
cnn,gb1,r0,0.6,0,test,0.9641866472541217,0.9290597429946787,0.010670526543011268
cnn,gb1,r0,0.4,0,train,0.9852330458113103,0.9705734653717861,0.004579567738498251
cnn,gb1,r0,0.4,0,test,0.9522645102259618,0.9063296786236569,0.014081283907095591
cnn,gb1,r0,0.2,0,train,0.9813644711018631,0.9630155074746121,0.005796324655724068
cnn,gb1,r0,0.2,0,test,0.9216854782848531,0.8494949145120867,0.022380327122906843
cnn,gb1,r1,1.0,0,train,0.99359778293566,0.9865934301712608,0.0021546046166696538
cnn,gb1,r1,1.0,0,test,0.9734392577672899,0.9466015303017502,0.007954761696358522
cnn,gb1,r1,0.8,0,train,0.9928055334332846,0.9856281206874811,0.0023448888182719336
cnn,gb1,r1,0.8,0,test,0.9706420314547743,0.9420942343189581,0.008691694991042217
cnn,gb1,r1,0.6,0,train,0.991467356779901,0.982986393529772,0.002728912379502112
cnn,gb1,r1,0.6,0,test,0.9638681343206572,0.9289814102802931,0.010660684512307247
cnn,gb1,r1,0.4,0,train,0.9878871247179632,0.9758377209718562,0.003782852232689038
cnn,gb1,r1,0.4,0,test,0.9518823081523343,0.9058652045094535,0.014142105666299662
cnn,gb1,r1,0.2,0,train,0.9821260159116474,0.9636257964382395,0.00568624089161555
cnn,gb1,r1,0.2,0,test,0.9262630414191617,0.8569366636160654,0.02147624393304189
cnn,gb1,r2,1.0,0,train,0.9924435812686748,0.984905512414587,0.0024313311550324245
cnn,gb1,r2,1.0,0,test,0.9725827956937311,0.9458475696651526,0.008183305834730465
cnn,gb1,r2,0.8,0,train,0.9930049558538997,0.9856374170558437,0.0023393950281426945
cnn,gb1,r2,0.8,0,test,0.9686333865111224,0.9380781616232333,0.009385579793403546
cnn,gb1,r2,0.6,0,train,0.9895851812722953,0.9790603545209975,0.003364142450866186
cnn,gb1,r2,0.6,0,test,0.9654465462091696,0.9317335272831304,0.010241964925080537
cnn,gb1,r2,0.4,0,train,0.9880016050962477,0.9761298019596518,0.0037457502524678907
