model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse
gb,gb1,r0,1.0,0,train,0.9985796949770346,0.9970239396846398,0.0004789770489722507
gb,gb1,r0,1.0,0,test,0.9227018031296657,0.8485040511067958,0.022452817392552085
gb,gb1,r0,0.8,0,train,0.9988470684425371,0.9975807006408066,0.0003943155839894348
gb,gb1,r0,0.8,0,test,0.9188208482242872,0.8411044996369141,0.023549485515718623
gb,gb1,r0,0.6,0,train,0.9993197213463886,0.9985728915153906,0.00023362069213463707
gb,gb1,r0,0.6,0,test,0.9089669918052248,0.8243441014891977,0.02603350018268789
gb,gb1,r0,0.4,0,train,0.9996210766619708,0.9992090533280767,0.00012504011280178054
gb,gb1,r0,0.4,0,test,0.8870286400173907,0.7867026838873958,0.03161223599697582
gb,gb1,r0,0.2,0,train,0.9998995278465687,0.9997907108772057,3.3322957147356704e-05
gb,gb1,r0,0.2,0,test,0.8329935069961675,0.693002807518271,0.04549924901079405
gb,gb1,r1,1.0,0,train,0.9985796949770346,0.9970239396846398,0.0004789770489722507
gb,gb1,r1,1.0,0,test,0.9227018031296657,0.8485040511067958,0.022452817392552085
gb,gb1,r1,0.8,0,train,0.9988470684425371,0.9975807006408066,0.0003943155839894348
gb,gb1,r1,0.8,0,test,0.9188208482242872,0.8411044996369141,0.023549485515718623
gb,gb1,r1,0.6,0,train,0.9993197213463886,0.9985728915153906,0.00023362069213463707
gb,gb1,r1,0.6,0,test,0.9089669918052248,0.8243441014891977,0.02603350018268789
gb,gb1,r1,0.4,0,train,0.9996210766619708,0.9992090533280767,0.00012504011280178054
gb,gb1,r1,0.4,0,test,0.8870286400173907,0.7867026838873958,0.03161223599697582
gb,gb1,r1,0.2,0,train,0.9998995278465687,0.9997907108772057,3.3322957147356704e-05
gb,gb1,r1,0.2,0,test,0.8329935069961675,0.693002807518271,0.04549924901079405
gb,gb1,r2,1.0,0,train,0.9985796949770346,0.9970239396846398,0.0004789770489722507
gb,gb1,r2,1.0,0,test,0.9227018031296657,0.8485040511067958,0.022452817392552085
gb,gb1,r2,0.8,0,train,0.9988470684425371,0.9975807006408066,0.0003943155839894348
gb,gb1,r2,0.8,0,test,0.9188208482242872,0.8411044996369141,0.023549485515718623
gb,gb1,r2,0.6,0,train,0.9993197213463886,0.9985728915153906,0.00023362069213463707
gb,gb1,r2,0.6,0,test,0.9089669918052248,0.8243441014891977,0.02603350018268789
gb,gb1,r2,0.4,0,train,0.9996210766619708,0.9992090533280767,0.00012504011280178054
gb,gb1,r2,0.4,0,test,0.8870286400173907,0.7867026838873958,0.03161223599697582
gb,gb1,r2,0.2,0,train,0.9998995278465687,0.9997907108772057,3.3322957147356704e-05
gb,gb1,r2,0.2,0,test,0.8329935069961675,0.693002807518271,0.04549924901079405
gb,gb1,r3,1.0,0,train,0.9985796949770346,0.9970239396846398,0.0004789770489722507
gb,gb1,r3,1.0,0,test,0.9227018031296657,0.8485040511067958,0.022452817392552085
gb,gb1,r3,0.8,0,train,0.9988470684425371,0.9975807006408066,0.0003943155839894348
gb,gb1,r3,0.8,0,test,0.9188208482242872,0.8411044996369141,0.023549485515718623
gb,gb1,r3,0.6,0,train,0.9993197213463886,0.9985728915153906,0.00023362069213463707
gb,gb1,r3,0.6,0,test,0.9089669918052248,0.8243441014891977,0.02603350018268789
gb,gb1,r3,0.4,0,train,0.9996210766619708,0.9992090533280767,0.00012504011280178054
gb,gb1,r3,0.4,0,test,0.8870286400173907,0.7867026838873958,0.03161223599697582
gb,gb1,r3,0.2,0,train,0.9998995278465687,0.9997907108772057,3.3322957147356704e-05
gb,gb1,r3,0.2,0,test,0.8329935069961675,0.693002807518271,0.04549924901079405
rf,gb1,r0,1.0,0,train,0.992829721837676,0.9818260493391561,0.0029249760869328153
rf,gb1,r0,1.0,0,test,0.8891623049533103,0.7778268791276978,0.03292769574977708
rf,gb1,r0,0.8,0,train,0.9917849582341974,0.9791187036022636,0.003403390552823235
rf,gb1,r0,0.8,0,test,0.8867258434064613,0.7743549808940593,0.0334422566843428
rf,gb1,r0,0.6,0,train,0.9905538251173285,0.9757012316846263,0.003977760018300793
rf,gb1,r0,0.6,0,test,0.877616545160582,0.7579759698111986,0.035869746974352495
rf,gb1,r0,0.4,0,train,0.9887060107435881,0.968667804453427,0.004953281181327101
rf,gb1,r0,0.4,0,test,0.8677450006218771,0.7335966925218365,0.039482935743685964
rf,gb1,r0,0.2,0,train,0.9866339296560306,0.9554773596957894,0.007088882666887491
rf,gb1,r0,0.2,0,test,0.8193859659071047,0.6444178102323352,0.05269990407813022
rf,gb1,r1,1.0,0,train,0.992829721837676,0.9818260493391561,0.0029249760869328153
rf,gb1,r1,1.0,0,test,0.8891623049533103,0.7778268791276978,0.03292769574977708
rf,gb1,r1,0.8,0,train,0.9917849582341974,0.9791187036022636,0.003403390552823235
rf,gb1,r1,0.8,0,test,0.8867258434064613,0.7743549808940593,0.0334422566843428
rf,gb1,r1,0.6,0,train,0.9905538251173285,0.9757012316846263,0.003977760018300793
rf,gb1,r1,0.6,0,test,0.877616545160582,0.7579759698111986,0.035869746974352495
rf,gb1,r1,0.4,0,train,0.9887060107435881,0.968667804453427,0.004953281181327101
rf,gb1,r1,0.4,0,test,0.8677450006218771,0.7335966925218365,0.039482935743685964
rf,gb1,r1,0.2,0,train,0.9866339296560306,0.9554773596957894,0.007088882666887491
rf,gb1,r1,0.2,0,test,0.8193859659071047,0.6444178102323352,0.05269990407813022
rf,gb1,r2,1.0,0,train,0.992829721837676,0.9818260493391561,0.0029249760869328153
rf,gb1,r2,1.0,0,test,0.8891623049533103,0.7778268791276978,0.03292769574977708
rf,gb1,r2,0.8,0,train,0.9917849582341974,0.9791187036022636,0.003403390552823235
rf,gb1,r2,0.8,0,test,0.8867258434064613,0.7743549808940593,0.0334422566843428
rf,gb1,r2,0.6,0,train,0.9905538251173285,0.9757012316846263,0.003977760018300793
rf,gb1,r2,0.6,0,test,0.877616545160582,0.7579759698111986,0.035869746974352495
rf,gb1,r2,0.4,0,train,0.9887060107435881,0.968667804453427,0.004953281181327101
rf,gb1,r2,0.4,0,test,0.8677450006218771,0.7335966925218365,0.039482935743685964
rf,gb1,r2,0.2,0,train,0.9866339296560306,0.9554773596957894,0.007088882666887491
rf,gb1,r2,0.2,0,test,0.8193859659071047,0.6444178102323352,0.05269990407813022
rf,gb1,r3,1.0,0,train,0.992829721837676,0.9818260493391561,0.0029249760869328153
rf,gb1,r3,1.0,0,test,0.8891623049533103,0.7778268791276978,0.03292769574977708
rf,gb1,r3,0.8,0,train,0.9917849582341974,0.9791187036022636,0.003403390552823235
rf,gb1,r3,0.8,0,test,0.8867258434064613,0.7743549808940593,0.0334422566843428
rf,gb1,r3,0.6,0,train,0.9905538251173285,0.9757012316846263,0.003977760018300793
rf,gb1,r3,0.6,0,test,0.877616545160582,0.7579759698111986,0.035869746974352495
rf,gb1,r3,0.4,0,train,0.9887060107435881,0.968667804453427,0.004953281181327101
rf,gb1,r3,0.4,0,test,0.8677450006218771,0.7335966925218365,0.039482935743685964
rf,gb1,r3,0.2,0,train,0.9866339296560306,0.9554773596957894,0.007088882666887491
rf,gb1,r3,0.2,0,test,0.8193859659071047,0.6444178102323352,0.05269990407813022
