model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse,train_epochs
blstm,k0,r2,1.0,0,train,0.9998792425381419,0.9996502378290253,7.435745780975067e-06,12.0
blstm,k0,r2,1.0,0,test,0.9998795353303302,0.9996541788834046,7.42999527574284e-06,
blstm,k0,r2,0.8,0,train,0.9997041196812683,0.9993700923853844,1.3257189918173632e-05,9.0
blstm,k0,r2,0.8,0,test,0.9997031683949784,0.9993718638856699,1.3526566908694803e-05,
blstm,k0,r2,0.6,0,train,0.9997984607593914,0.9994254154501921,1.2141571460233536e-05,10.0
blstm,k0,r2,0.6,0,test,0.9997919583395612,0.9994143191429715,1.2550958672363777e-05,
blstm,k0,r2,0.4,0,train,0.9997751280971,0.9994801548891579,1.0967301363962179e-05,13.0
blstm,k0,r2,0.4,0,test,0.9997729630503908,0.9994811634121956,1.1114000699308235e-05,
blstm,k0,r2,0.2,0,train,0.9995200254163019,0.9989741757827225,2.130292068613926e-05,11.0
blstm,k0,r2,0.2,0,test,0.9995274694377184,0.9989839485682486,2.1795603970531374e-05,
blstm,k0,r4,1.0,0,train,0.9997370315149499,0.999377212698286,1.308508188613862e-05,14.0
blstm,k0,r4,1.0,0,test,0.9997310327620601,0.9993693702187557,1.3158301953808405e-05,
blstm,k0,r4,0.8,0,train,0.9998065754512383,0.9995790244839715,8.882946409964158e-06,10.0
blstm,k0,r4,0.8,0,test,0.9998014980955281,0.9995668754634205,9.032691013999284e-06,
blstm,k0,r4,0.6,0,train,0.9998035362144011,0.9995005594381424,1.062124581287869e-05,13.0
blstm,k0,r4,0.6,0,test,0.9998001447967028,0.9994899615658552,1.0662682689144276e-05,
blstm,k0,r4,0.4,0,train,0.9998408398547929,0.9996624858962633,7.188040854089195e-06,11.0
blstm,k0,r4,0.4,0,test,0.9998333622902288,0.9996431485941791,7.438402190018678e-06,
blstm,k0,r4,0.2,0,train,0.9997492162558145,0.9994030223977448,1.2841016541642603e-05,15.0
blstm,k0,r4,0.2,0,test,0.9997238086604359,0.9993501186568892,1.3565307563112583e-05,
blstm,k0,r0,1.0,0,train,0.9998106616069034,0.9995979697145586,9.009065970052402e-06,11.0
blstm,k0,r0,1.0,0,test,0.9998134077227868,0.9996001647041076,9.224745190294925e-06,
blstm,k0,r0,0.8,0,train,0.9997256549960652,0.999359365126941,1.4333710532810074e-05,9.0
blstm,k0,r0,0.8,0,test,0.9997305016327682,0.9993699543244895,1.4558071598003153e-05,
blstm,k0,r0,0.6,0,train,0.9996288830479877,0.9991639404172432,1.8743319246409968e-05,9.0
blstm,k0,r0,0.6,0,test,0.999634843854898,0.9991750257032649,1.8958959117298946e-05,
blstm,k0,r0,0.4,0,train,0.9997574164124122,0.9993378131725331,1.4877826515657944e-05,10.0
blstm,k0,r0,0.4,0,test,0.9997584467277617,0.9993577046931962,1.4849913350190036e-05,
blstm,k0,r0,0.2,0,train,0.9997328790769454,0.9993044182568782,1.53143196257588e-05,13.0
blstm,k0,r0,0.2,0,test,0.9997341904101904,0.9993156278434324,1.5667178922740276e-05,
blstm,k0,r7,1.0,0,train,0.9998764481763739,0.9996183819239212,8.756319211419108e-06,16.0
blstm,k0,r7,1.0,0,test,0.9998746593339733,0.9996103831776676,8.709870053280611e-06,
blstm,k0,r7,0.8,0,train,0.9998889953759907,0.9997048756255934,6.743530351135026e-06,15.0
blstm,k0,r7,0.8,0,test,0.9998836799037718,0.9996949698793708,6.845519237685949e-06,
blstm,k0,r7,0.6,0,train,0.9998832086739731,0.9996548790507823,7.889733296906343e-06,17.0
blstm,k0,r7,0.6,0,test,0.9998791928327768,0.9996485670815589,7.844318952265894e-06,
blstm,k0,r7,0.4,0,train,0.9998977239228868,0.9997688358704866,5.310916151302081e-06,19.0
blstm,k0,r7,0.4,0,test,0.9998953040365691,0.9997633132551046,5.3214365834719505e-06,
blstm,k0,r7,0.2,0,train,0.9993833632925404,0.9987138518799058,2.9599242225231137e-05,13.0
blstm,k0,r7,0.2,0,test,0.9993597863144243,0.9986701751392206,2.9823487784597093e-05,
blstm,k1,r2,1.0,0,train,0.9993172532597091,0.9985736579604503,3.0208412442190917e-05,25.0
blstm,k1,r2,1.0,0,test,0.9992525237717128,0.998447984639365,3.272813919465989e-05,
blstm,k1,r2,0.8,0,train,0.9993022495097523,0.9983957566397899,3.403582644144383e-05,31.0
blstm,k1,r2,0.8,0,test,0.9992282182413442,0.9982471065344036,3.686526688397862e-05,
blstm,k1,r2,0.6,0,train,0.999219429397568,0.9983543278737336,3.475131531806917e-05,32.0
blstm,k1,r2,0.6,0,test,0.9991234028786954,0.9981683405140572,3.8536523061338815e-05,
blstm,k1,r2,0.4,0,train,0.9987634504904758,0.9975259458292568,5.213147733229562e-05,32.0
blstm,k1,r2,0.4,0,test,0.9986028945609005,0.9972016444686196,5.87913251365535e-05,
blstm,k1,r2,0.2,0,train,0.9983011411731133,0.996378653245739,7.524092688981909e-05,45.0
blstm,k1,r2,0.2,0,test,0.9979636587995029,0.9957691724773284,8.896780636860057e-05,
blstm,k1,r4,1.0,0,train,0.9991294697265305,0.9982041442282514,4.118505048130541e-05,22.0
blstm,k1,r4,1.0,0,test,0.9990476831168219,0.9980489865079843,4.452738285181113e-05,
blstm,k1,r4,0.8,0,train,0.9993212982806345,0.998539086824079,3.346106920313711e-05,39.0
blstm,k1,r4,0.8,0,test,0.9992365917622509,0.9983536185218568,3.739321400644258e-05,
blstm,k1,r4,0.6,0,train,0.9991260194488462,0.9980023159701069,4.587015659622425e-05,37.0
blstm,k1,r4,0.6,0,test,0.9989743083781506,0.9976765722326897,5.2970779506722465e-05,
blstm,k1,r4,0.4,0,train,0.9981891248440098,0.9963638197407138,8.251360031863442e-05,28.0
blstm,k1,r4,0.4,0,test,0.9979736179424473,0.9959354941426094,9.23101368243806e-05,
blstm,k1,r4,0.2,0,train,0.9976479986742084,0.9950795027930213,0.00011081928823841736,32.0
blstm,k1,r4,0.2,0,test,0.9968910689186572,0.9936735314634848,0.00014433287433348596,
blstm,k1,r0,1.0,0,train,0.9992930769492191,0.9985140548492905,2.9855038040918053e-05,28.0
blstm,k1,r0,1.0,0,test,0.9991847346763305,0.9982817609698903,3.473735123407096e-05,
blstm,k1,r0,0.8,0,train,0.9980759560783786,0.9958452154038109,8.311237664505218e-05,19.0
blstm,k1,r0,0.8,0,test,0.9979021414745253,0.9955095927055779,9.079161391127855e-05,
blstm,k1,r0,0.6,0,train,0.9988365323440441,0.9972545105912879,5.566975927319039e-05,31.0
blstm,k1,r0,0.6,0,test,0.9986099738840689,0.99678144194254,6.51965878205374e-05,
blstm,k1,r0,0.4,0,train,0.9978484717717374,0.9956405201593255,8.732760306884302e-05,31.0
blstm,k1,r0,0.4,0,test,0.9975092676973049,0.9949137293394067,0.00010291001672158018,
