model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r2,M0-M1,0,train,0.255040651,-0.108972366,0.007094867,26
blstm,k0,r2,M0-M1,0,M1,0.176523336,-0.168330436,0.011814835,
blstm,k0,r2,M0-M1,0,M2,0.368490859,0.045022837,0.014347319,
blstm,k0,r2,M0-M1,0,M3,0.190405294,0.027707809,0.015002086,
blstm,k0,r2,M0-M1,0,M4,0.313750256,0.033075558,0.019247349,
blstm,k0,r2,M0-M1,0,M5,0.348673145,-0.025186976,0.023138707,
blstm,k0,r2,M0-M1,0,M6,0.439670292,-0.101219228,0.024476334,
blstm,k0,r2,M0-M2,0,train,0.99867966,0.997228096,3.34E-05,78
blstm,k0,r2,M0-M2,0,M1,0.9995325,0.992537516,7.55E-05,
blstm,k0,r2,M0-M2,0,M2,0.998241881,0.99629482,5.57E-05,
blstm,k0,r2,M0-M2,0,M3,0.997062606,0.990615369,0.000144801,
blstm,k0,r2,M0-M2,0,M4,0.995920887,0.982710267,0.000344165,
blstm,k0,r2,M0-M2,0,M5,0.994213111,0.969264429,0.00069066,
blstm,k0,r2,M0-M2,0,M6,0.99265587,0.952171243,0.001065114,
blstm,k0,r2,M0-M3,0,train,0.999594434,0.999176936,1.45E-05,21
blstm,k0,r2,M0-M3,0,M1,0.999993995,0.999070743,9.40E-06,
blstm,k0,r2,M0-M3,0,M2,0.999774271,0.99945711,8.16E-06,
blstm,k0,r2,M0-M3,0,M3,0.9994548,0.998890497,1.71E-05,
blstm,k0,r2,M0-M3,0,M4,0.999412176,0.998822966,2.34E-05,
blstm,k0,r2,M0-M3,0,M5,0.999268519,0.998537029,3.29E-05,
blstm,k0,r2,M0-M3,0,M6,0.999117766,0.998195446,4.08E-05,
blstm,k0,r2,M0-M4,0,train,0.999806566,0.999559971,8.71E-06,17
blstm,k0,r2,M0-M4,0,M1,0.999947205,0.999725775,2.77E-06,
blstm,k0,r2,M0-M4,0,M2,0.999886525,0.999764789,3.53E-06,
blstm,k0,r2,M0-M4,0,M3,0.999800772,0.999548803,6.96E-06,
blstm,k0,r2,M0-M4,0,M4,0.99979152,0.999540496,9.15E-06,
blstm,k0,r2,M0-M4,0,M5,0.999768313,0.999507874,1.11E-05,
blstm,k0,r2,M0-M4,0,M6,0.999768229,0.999526343,1.06E-05,
blstm,k0,r2,M0-M5,0,train,0.999861333,0.999595618,8.59E-06,11
blstm,k0,r2,M0-M5,0,M1,0.999996645,0.999356708,6.51E-06,
blstm,k0,r2,M0-M5,0,M2,0.999880607,0.999589858,6.16E-06,
blstm,k0,r2,M0-M5,0,M3,0.999832893,0.999542745,7.06E-06,
blstm,k0,r2,M0-M5,0,M4,0.999860133,0.99959549,8.05E-06,
blstm,k0,r2,M0-M5,0,M5,0.99985496,0.999556674,1.00E-05,
blstm,k0,r2,M0-M5,0,M6,0.999847649,0.999521911,1.06E-05,
blstm,k0,r2,M0-M6,0,train,0.999876085,0.999751774,5.30E-06,11
blstm,k0,r2,M0-M6,0,M1,0.999904272,0.999380387,6.27E-06,
