model,landscape,replicate,train distance,cv_fold,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,gb1,r0,train distance 1,0,train,0.04271866135813623,-14.912705901473249,0.0002803917450364679,1.0
blstm,gb1,r0,train distance 1,0,test_dist1,0.14194930421024346,-68.05730639670426,0.00032627518521621823,
blstm,gb1,r0,train distance 1,0,test_dist2,-0.15393436533629595,-0.012994306144691103,0.013884126208722591,
blstm,gb1,r0,train distance 1,0,test_dist3,-0.08050981676327951,-0.01341691335154871,0.0886570190389951,
blstm,gb1,r0,train distance 1,0,test_dist4,-0.08179713504526617,-0.03583179137571735,0.19952526688575745,
blstm,gb1,r0,train distance 2,0,train,0.35153390169094295,0.11213263001184204,0.004510598722845316,1.0
blstm,gb1,r0,train distance 2,0,test_dist1,0.2813362561725149,-24.87467611015727,0.00012225013051647693,
blstm,gb1,r0,train distance 2,0,test_dist2,0.1444505448424423,0.014491164690957903,0.013507410883903503,
blstm,gb1,r0,train distance 2,0,test_dist3,0.24005300835432894,0.017191977251767354,0.08592631419499715,
blstm,gb1,r0,train distance 2,0,test_dist4,0.28130056678011384,-0.004696951701852248,0.19351708764831224,
blstm,gb1,r0,train distance 3,0,train,0.671672530055788,0.39405539833388004,0.043931891482012965,1.0
blstm,gb1,r0,train distance 3,0,test_dist1,-0.5255347262753693,-117.41528747824184,0.0005594769027084112,
blstm,gb1,r0,train distance 3,0,test_dist2,0.6496159747806399,0.4003836474046437,0.008218358270823956,
blstm,gb1,r0,train distance 3,0,test_dist3,0.7063993273409885,0.425099261565397,0.04995350788036982,
blstm,gb1,r0,train distance 3,0,test_dist4,0.6493512351751074,0.35604655602155577,0.12401820222536723,
blstm,gb1,r0,train distance 4,0,train,0.8349264065756618,0.673026891822831,0.05006310610905668,1.0
blstm,gb1,r0,train distance 4,0,test_dist1,-0.5945569740274959,-142.4493517666729,0.0006777554517611861,
blstm,gb1,r0,train distance 4,0,test_dist2,0.8852291856984401,0.6803742903479482,0.00438079796731472,
blstm,gb1,r0,train distance 4,0,test_dist3,0.8669742013615263,0.7084656273579808,0.025709244112173717,
blstm,gb1,r0,train distance 4,0,test_dist4,0.8319798064651706,0.6759895510948811,0.06239985271046559,
cnn,gb1,r0,train distance 1,0,train,-0.2980164896897489,-807.3684374033896,0.014243952929973602,1.0
cnn,gb1,r0,train distance 1,0,test_dist1,0.20358183501601457,-3036.334824170317,0.01435050182044506,
cnn,gb1,r0,train distance 1,0,test_dist2,0.007346455344647162,-1.0805212958515371,0.028515677899122238,
cnn,gb1,r0,train distance 1,0,test_dist3,-0.03860542472932172,-0.24656507674877148,0.10832664246360461,
cnn,gb1,r0,train distance 1,0,test_dist4,-0.004755047884287596,-0.1732595717559915,0.2260478064417839,
cnn,gb1,r0,train distance 2,0,train,0.44508031306062873,0.15253944236797856,0.0043053217232227325,1.0
cnn,gb1,r0,train distance 2,0,test_dist1,0.5827804394047695,-32.48914291797029,0.00015822620480321348,
