model,landscape,replicate,train distance,cv_fold,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r2,train distance 1,0,train,0.2550406506678112,-0.10897236601112481,0.0070948670618236065,26.0
blstm,k0,r2,train distance 1,0,test_dist1,0.17652333555879185,-0.1683304357876898,0.011814835481345654,
blstm,k0,r2,train distance 1,0,test_dist2,0.3684908594133941,0.04502283713278099,0.014347318559885025,
blstm,k0,r2,train distance 1,0,test_dist3,0.19040529410763232,0.027707809413637596,0.015002085827291012,
blstm,k0,r2,train distance 1,0,test_dist4,0.3137502563912113,0.03307555803136519,0.019247349351644516,
blstm,k0,r2,train distance 1,0,test_dist5,0.3486731449812735,-0.025186975640827836,0.02313870657235384,
blstm,k0,r2,train distance 1,0,test_dist6,0.4396702920843978,-0.1012192281735278,0.024476333521306515,
blstm,k0,r2,train distance 2,0,train,0.998679659955384,0.9972280958217055,3.342777563375421e-05,78.0
blstm,k0,r2,train distance 2,0,test_dist1,0.9995325001013308,0.9925375158073162,7.546497363364324e-05,
blstm,k0,r2,train distance 2,0,test_dist2,0.9982418813601284,0.9962948195362761,5.566562322201207e-05,
blstm,k0,r2,train distance 2,0,test_dist3,0.9970626057893989,0.9906153694687156,0.00014480114623438567,
blstm,k0,r2,train distance 2,0,test_dist4,0.9959208868644306,0.9827102665890249,0.0003441649896558374,
blstm,k0,r2,train distance 2,0,test_dist5,0.9942131109383716,0.9692644290074705,0.0006906604103278369,
blstm,k0,r2,train distance 2,0,test_dist6,0.9926558700828506,0.9521712430736712,0.0010651135817170143,
blstm,k0,r2,train distance 3,0,train,0.9995944340238336,0.9991769356002485,1.452690094083664e-05,21.0
blstm,k0,r2,train distance 3,0,test_dist1,0.9999939954599066,0.9990707427660238,9.39718938752776e-06,
blstm,k0,r2,train distance 3,0,test_dist2,0.9997742710634014,0.9994571099314624,8.156232979672495e-06,
blstm,k0,r2,train distance 3,0,test_dist3,0.9994548003316602,0.9988904967855771,1.7119196854764596e-05,
blstm,k0,r2,train distance 3,0,test_dist4,0.9994121761548586,0.9988229662314599,2.342973129998427e-05,
blstm,k0,r2,train distance 3,0,test_dist5,0.9992685194900082,0.9985370291297837,3.289687265350949e-05,
blstm,k0,r2,train distance 3,0,test_dist6,0.9991177663173806,0.9981954456682173,4.084648935531732e-05,
blstm,k0,r2,train distance 4,0,train,0.9998065655616999,0.9995599712780942,8.705060463398694e-06,17.0
blstm,k0,r2,train distance 4,0,test_dist1,0.9999472050433815,0.9997257746645735,2.773125743260607e-06,
blstm,k0,r2,train distance 4,0,test_dist2,0.9998865253213269,0.9997647887589389,3.533750032147509e-06,
blstm,k0,r2,train distance 4,0,test_dist3,0.99980077157742,0.9995488026308502,6.961797680560267e-06,
blstm,k0,r2,train distance 4,0,test_dist4,0.9997915198706055,0.9995404961669522,9.146764568868093e-06,
blstm,k0,r2,train distance 4,0,test_dist5,0.9997683133264931,0.999507873935378,1.1145898952236166e-05,
blstm,k0,r2,train distance 4,0,test_dist6,0.9997682286440104,0.9995263430607034,1.0558222129475325e-05,
blstm,k0,r2,train distance 5,0,train,0.9998613325914668,0.9995956180246733,8.591084819132588e-06,11.0
blstm,k0,r2,train distance 5,0,test_dist1,0.999996645431957,0.9993567076391001,6.50534593660268e-06,
blstm,k0,r2,train distance 5,0,test_dist2,0.99988060671904,0.9995898583689168,6.161856617836747e-06,
blstm,k0,r2,train distance 5,0,test_dist3,0.9998328927354233,0.9995427446729367,7.055269179545576e-06,
blstm,k0,r2,train distance 5,0,test_dist4,0.9998601330636516,0.999595490013012,8.052071279962547e-06,
blstm,k0,r2,train distance 5,0,test_dist5,0.9998549595407373,0.9995566742312464,1.002271392280818e-05,
blstm,k0,r2,train distance 5,0,test_dist6,0.9998476492173793,0.9995219110783029,1.0582098184386268e-05,
blstm,k0,r2,train distance 6,0,train,0.999876084789742,0.9997517740865316,5.300157011477399e-06,11.0
blstm,k0,r2,train distance 6,0,test_dist1,0.9999042715623429,0.9993803866340621,6.265890533541096e-06,
blstm,k0,r2,train distance 6,0,test_dist2,0.999824338253085,0.9996288280040239,5.576387138717109e-06,
blstm,k0,r2,train distance 6,0,test_dist3,0.9998114804481918,0.9996023938669228,6.13490556133911e-06,
blstm,k0,r2,train distance 6,0,test_dist4,0.9998564659399315,0.9997082430602964,5.80763844482135e-06,
blstm,k0,r2,train distance 6,0,test_dist5,0.9998736904930297,0.9997464819695809,5.721268735214835e-06,
blstm,k0,r2,train distance 6,0,test_dist6,0.9998911027971494,0.9997785909731841,4.899249233858427e-06,
blstm,k0,r4,train distance 1,0,train,0.08943936412683609,-0.11593243266423303,0.005171402357518673,14.0
blstm,k0,r4,train distance 1,0,test_dist1,-0.7025895511835002,-0.626935016354567,0.004806698299944401,
blstm,k0,r4,train distance 1,0,test_dist2,-0.04871233633227912,-0.4290947736512858,0.008968262933194637,
blstm,k0,r4,train distance 1,0,test_dist3,0.11943698689676979,-1.2045155869126143,0.024732086807489395,
blstm,k0,r4,train distance 1,0,test_dist4,0.06625201183828978,-2.765790725377412,0.05282863602042198,
blstm,k0,r4,train distance 1,0,test_dist5,0.17103648277082628,-4.083585958093595,0.08914238959550858,
blstm,k0,r4,train distance 1,0,test_dist6,0.2932427333519865,-5.731095920328981,0.13560818135738373,
blstm,k0,r4,train distance 2,0,train,0.9970370531596091,0.9938325471036178,5.35535036760848e-05,57.0
blstm,k0,r4,train distance 2,0,test_dist1,0.9984334433817302,0.9884523046617718,3.411709258216433e-05,
blstm,k0,r4,train distance 2,0,test_dist2,0.992153147760951,0.9828914120400267,0.00010736468539107591,
blstm,k0,r4,train distance 2,0,test_dist3,0.9911649076470311,0.9818721806574989,0.00020337292517069727,
blstm,k0,r4,train distance 2,0,test_dist4,0.9897309572367587,0.9772543382786298,0.00031908892560750246,
blstm,k0,r4,train distance 2,0,test_dist5,0.9877345243573119,0.9704162834880719,0.0005176496633794159,
blstm,k0,r4,train distance 2,0,test_dist6,0.9857887645562954,0.9609748987297885,0.0007822402694728225,
blstm,k0,r4,train distance 3,0,train,0.999280165325383,0.9984679645879287,1.9022424567083362e-05,23.0
blstm,k0,r4,train distance 3,0,test_dist1,0.9997302524629731,0.9970226497274213,8.796432666713372e-06,
blstm,k0,r4,train distance 3,0,test_dist2,0.9992884380831569,0.9983376920235252,1.0431788723508362e-05,
blstm,k0,r4,train distance 3,0,test_dist3,0.9988294362635592,0.9975831979293713,2.7113692340208218e-05,
blstm,k0,r4,train distance 3,0,test_dist4,0.998909839458979,0.9975098744647649,3.493288022582419e-05,
blstm,k0,r4,train distance 3,0,test_dist5,0.9986337144098778,0.9967221763956081,5.733185025746934e-05,
blstm,k0,r4,train distance 3,0,test_dist6,0.9983221355362007,0.9954611726747171,9.099004455492832e-05,
blstm,k0,r4,train distance 4,0,train,0.9996547036486922,0.9990492974141265,1.4618010936828796e-05,14.0
blstm,k0,r4,train distance 4,0,test_dist1,0.9993873163271663,0.9962296104179167,1.1139428352180403e-05,
blstm,k0,r4,train distance 4,0,test_dist2,0.9996067205304736,0.9987131394477787,8.075674486462958e-06,
blstm,k0,r4,train distance 4,0,test_dist3,0.9995690387286049,0.9988112991150022,1.3335834410099778e-05,
blstm,k0,r4,train distance 4,0,test_dist4,0.9996319315058569,0.9989816170120248,1.4286451005318668e-05,
blstm,k0,r4,train distance 4,0,test_dist5,0.9996016605581394,0.9989068407870544,1.9150918888044544e-05,
blstm,k0,r4,train distance 4,0,test_dist6,0.9995399609131603,0.9987492559380354,2.4892166038625874e-05,
blstm,k0,r4,train distance 5,0,train,0.9998332561573586,0.999663732516521,6.22526847739489e-06,13.0
blstm,k0,r4,train distance 5,0,test_dist1,0.9990615876612098,0.9981191055285742,5.5570089898537844e-06,
blstm,k0,r4,train distance 5,0,test_dist2,0.9996849754290288,0.9992760227433867,4.543308477877872e-06,
blstm,k0,r4,train distance 5,0,test_dist3,0.999795672877191,0.9995559394875397,4.981839992979076e-06,
blstm,k0,r4,train distance 5,0,test_dist4,0.999807616503322,0.9996010305150339,5.59696854907088e-06,
blstm,k0,r4,train distance 5,0,test_dist5,0.9998142229955099,0.9996219423775796,6.627604761888506e-06,
blstm,k0,r4,train distance 5,0,test_dist6,0.9997945017436353,0.9995655264029576,8.700335911271395e-06,
blstm,k0,r4,train distance 6,0,train,0.9999000722305497,0.9997594882576716,5.065537391745142e-06,16.0
blstm,k0,r4,train distance 6,0,test_dist1,0.9998475789377194,0.9986678851133588,3.935667336918414e-06,
blstm,k0,r4,train distance 6,0,test_dist2,0.999862919617636,0.9994963646511061,3.1605561616743216e-06,
blstm,k0,r4,train distance 6,0,test_dist3,0.9998848168229001,0.9996639126534929,3.770507191802608e-06,
blstm,k0,r4,train distance 6,0,test_dist4,0.9998762104203875,0.9996860039405262,4.404913397593191e-06,
blstm,k0,r4,train distance 6,0,test_dist5,0.9998845524019162,0.9997284787853913,4.754697329190094e-06,
blstm,k0,r4,train distance 6,0,test_dist6,0.9998878290697958,0.9997127953990634,5.771615633420879e-06,
blstm,k0,r0,train distance 1,0,train,0.28720278538148936,0.03739522174136811,0.006564953364431858,22.0
blstm,k0,r0,train distance 1,0,test_dist1,0.16793957936805365,-2.9534653114585323,0.006977288983762264,
blstm,k0,r0,train distance 1,0,test_dist2,0.2160211916205838,-0.09692019306499033,0.011825019493699074,
blstm,k0,r0,train distance 1,0,test_dist3,0.23479512889803397,-0.08373735301556606,0.017906174063682556,
blstm,k0,r0,train distance 1,0,test_dist4,0.18072393875858428,-0.14849740447034798,0.0228583887219429,
blstm,k0,r0,train distance 1,0,test_dist5,0.19296212953943598,-0.2028264372450137,0.0265886802226305,
blstm,k0,r0,train distance 1,0,test_dist6,0.20280693492159987,-0.27805382790854116,0.031656038016080856,
blstm,k0,r0,train distance 2,0,train,0.9987312279542131,0.9974566919556899,2.903548738686368e-05,76.0
blstm,k0,r0,train distance 2,0,test_dist1,0.9996952917413596,0.9962264212609024,6.659814516751794e-06,
blstm,k0,r0,train distance 2,0,test_dist2,0.996749875921998,0.9931370514461525,7.398395973723382e-05,
blstm,k0,r0,train distance 2,0,test_dist3,0.9959718011557037,0.9911540057151947,0.00014615895634051412,
blstm,k0,r0,train distance 2,0,test_dist4,0.9931532164617775,0.9837261269767961,0.00032389670377597213,
blstm,k0,r0,train distance 2,0,test_dist5,0.9886129613593655,0.973220940348314,0.0005937961686868221,
blstm,k0,r0,train distance 2,0,test_dist6,0.9852664772005688,0.9646218881102678,0.000875730678671971,
blstm,k0,r0,train distance 3,0,train,0.9998066438203774,0.9996062317854113,6.140433015389135e-06,31.0
blstm,k0,r0,train distance 3,0,test_dist1,0.999748022798445,0.9989051332153284,1.9322797015774995e-06,
blstm,k0,r0,train distance 3,0,test_dist2,0.9998799645922475,0.9996314773192542,3.972748800151749e-06,
blstm,k0,r0,train distance 3,0,test_dist3,0.9997653740683679,0.999522978030887,7.881650162744336e-06,
blstm,k0,r0,train distance 3,0,test_dist4,0.9996224337810121,0.9992148991626595,1.5625755622750148e-05,
blstm,k0,r0,train distance 3,0,test_dist5,0.9993428823673788,0.9985956837804195,3.1050863981363364e-05,
blstm,k0,r0,train distance 3,0,test_dist6,0.9991008940969017,0.9979963174658991,4.9386271712137386e-05,
blstm,k0,r0,train distance 4,0,train,0.9997314888173368,0.9992524114883319,1.4140283747110516e-05,13.0
blstm,k0,r0,train distance 4,0,test_dist1,0.9996814945759912,0.994700011459217,9.353704626846593e-06,
blstm,k0,r0,train distance 4,0,test_dist2,0.9997937883627452,0.9992485572135434,8.100704690150451e-06,
blstm,k0,r0,train distance 4,0,test_dist3,0.9997727986765106,0.9993334744325485,1.1012745744665153e-05,
blstm,k0,r0,train distance 4,0,test_dist4,0.9997158019635461,0.9992358186416213,1.5209397133730818e-05,
blstm,k0,r0,train distance 4,0,test_dist5,0.9996501162914448,0.9990846641368283,2.0315855181252118e-05,
blstm,k0,r0,train distance 4,0,test_dist6,0.9996090183563161,0.9989757248512068,2.569120260886848e-05,
blstm,k0,r0,train distance 5,0,train,0.9998358028369282,0.9994209528945043,1.2360996851594582e-05,10.0
blstm,k0,r0,train distance 5,0,test_dist1,0.999652616577222,0.9945105212248477,9.6881267381832e-06,
blstm,k0,r0,train distance 5,0,test_dist2,0.9998621584779906,0.9991261176847559,9.420627065992448e-06,
blstm,k0,r0,train distance 5,0,test_dist3,0.9998606705509582,0.9993723827790609,1.0369877600169275e-05,
blstm,k0,r0,train distance 5,0,test_dist4,0.9998477875650774,0.9994087804766787,1.1766961506509688e-05,
blstm,k0,r0,train distance 5,0,test_dist5,0.9998156409782357,0.9994096881510733,1.3010851944272872e-05,
blstm,k0,r0,train distance 5,0,test_dist6,0.9997955497077045,0.9993931281906281,1.5084558981470764e-05,
blstm,k0,r0,train distance 6,0,train,0.9996667265178499,0.9992717859964154,1.651395287856423e-05,9.0
blstm,k0,r0,train distance 6,0,test_dist1,0.9994577671168429,0.997161653944801,5.009265805711038e-06,
blstm,k0,r0,train distance 6,0,test_dist2,0.9997607119809118,0.9994594283911152,5.82747043154086e-06,
blstm,k0,r0,train distance 6,0,test_dist3,0.9996263290071263,0.9991598850060905,1.3880896403861698e-05,
blstm,k0,r0,train distance 6,0,test_dist4,0.9996319406238589,0.9991646486849773,1.6625883290544152e-05,
blstm,k0,r0,train distance 6,0,test_dist5,0.9996450295967798,0.9992095960599433,1.752759544615401e-05,
blstm,k0,r0,train distance 6,0,test_dist6,0.9996874873717799,0.9993076959677019,1.7093499991460703e-05,
blstm,k0,r7,train distance 1,0,train,0.5115049021096115,-0.3886677986352691,0.01402178406715393,21.0
blstm,k0,r7,train distance 1,0,test_dist1,0.7613998565561602,-0.8412037300472421,0.009722881019115448,
blstm,k0,r7,train distance 1,0,test_dist2,0.5076219674391812,-0.47315034423695,0.020849421620368958,
blstm,k0,r7,train distance 1,0,test_dist3,0.4920418725788873,-0.2759447606785792,0.028517479076981544,
blstm,k0,r7,train distance 1,0,test_dist4,0.47431293275486175,-0.2962508962275525,0.03129952773451805,
blstm,k0,r7,train distance 1,0,test_dist5,0.45191070195719596,-0.36178061088264357,0.033218514174222946,
blstm,k0,r7,train distance 1,0,test_dist6,0.3765984751703378,-0.4827921181416064,0.03216473199427128,
blstm,k0,r7,train distance 2,0,train,0.612660024057252,0.35215777119529945,0.010383984073996544,20.0
blstm,k0,r7,train distance 2,0,test_dist1,0.6938592602561613,0.39531074872550986,0.0031931940466165543,
blstm,k0,r7,train distance 2,0,test_dist2,0.6049377424022211,0.2640065903215242,0.010416476987302303,
blstm,k0,r7,train distance 2,0,test_dist3,0.6104496644625811,0.28856776870098455,0.015900572761893272,
blstm,k0,r7,train distance 2,0,test_dist4,0.6114789300332156,0.19921482470730578,0.0193359162658453,
blstm,k0,r7,train distance 2,0,test_dist5,0.6364514494439036,0.1277074579716071,0.021289054304361343,
blstm,k0,r7,train distance 2,0,test_dist6,0.6321060675403368,-0.020898566367342886,0.02205820195376873,
blstm,k0,r7,train distance 3,0,train,0.999617246923809,0.9992282633436042,1.4562334854417713e-05,27.0
blstm,k0,r7,train distance 3,0,test_dist1,0.9997088395726879,0.99900316643637,5.263998446025653e-06,
blstm,k0,r7,train distance 3,0,test_dist2,0.9996463107153095,0.9991520165003138,1.2001466529909521e-05,
blstm,k0,r7,train distance 3,0,test_dist3,0.9995679789958596,0.999131895243178,1.9402217731112614e-05,
blstm,k0,r7,train distance 3,0,test_dist4,0.9994247729793211,0.9988152676790714,2.860677705029957e-05,
blstm,k0,r7,train distance 3,0,test_dist5,0.9992656134290677,0.9984249369964596,3.857059346046299e-05,
blstm,k0,r7,train distance 3,0,test_dist6,0.998945599063328,0.9976720051150676,5.023238009016495e-05,
blstm,k0,r7,train distance 4,0,train,0.9997105061849594,0.9993550499295801,1.443104356440017e-05,17.0
blstm,k0,r7,train distance 4,0,test_dist1,0.999621622296204,0.9984291379316809,8.295281986647751e-06,
blstm,k0,r7,train distance 4,0,test_dist2,0.9996893323564231,0.999363659501764,9.006094842334278e-06,
blstm,k0,r7,train distance 4,0,test_dist3,0.9997446680212755,0.9994500821559262,1.2290712220419664e-05,
blstm,k0,r7,train distance 4,0,test_dist4,0.9997022089609849,0.9993275709323328,1.623660500627011e-05,
blstm,k0,r7,train distance 4,0,test_dist5,0.9996321338165179,0.9991513098266602,2.07756893360056e-05,
blstm,k0,r7,train distance 4,0,test_dist6,0.9994614754396552,0.9987553439474055,2.7031103854824323e-05,
blstm,k0,r7,train distance 5,0,train,0.9996256898677502,0.999157778247289,1.9439660648528774e-05,11.0
blstm,k0,r7,train distance 5,0,test_dist1,0.9996322501884383,0.9989034149925989,5.790757768409094e-06,
blstm,k0,r7,train distance 5,0,test_dist2,0.999684244486528,0.9993316011352924,9.459814464207739e-06,
blstm,k0,r7,train distance 5,0,test_dist3,0.9996940909369478,0.9993079619148256,1.5467112461919896e-05,
blstm,k0,r7,train distance 5,0,test_dist4,0.9996376497893914,0.9991441261125305,2.0666098862420768e-05,
blstm,k0,r7,train distance 5,0,test_dist5,0.9996337487216548,0.999166624810243,2.0391221369209234e-05,
blstm,k0,r7,train distance 5,0,test_dist6,0.9995826795006829,0.9991002104790948,1.9667771084641572e-05,
blstm,k0,r7,train distance 6,0,train,0.9998450478472337,0.9996225254751778,8.499657269567251e-06,11.0
blstm,k0,r7,train distance 6,0,test_dist1,0.9999231643759081,0.9964049456875458,1.8984474081662484e-05,
blstm,k0,r7,train distance 6,0,test_dist2,0.9998205817003561,0.9992143981625674,1.1118582733615767e-05,
blstm,k0,r7,train distance 6,0,test_dist3,0.9998714270857831,0.9995339634399307,1.04159571492346e-05,
blstm,k0,r7,train distance 6,0,test_dist4,0.9998504617253163,0.9996035908335572,9.571773261995986e-06,
blstm,k0,r7,train distance 6,0,test_dist5,0.999850537931287,0.9996484136768541,8.591229743615258e-06,
blstm,k0,r7,train distance 6,0,test_dist6,0.9998499081081933,0.9996366695265603,7.778460030749557e-06,
blstm,k1,r2,train distance 1,0,train,-0.03706485739547981,-0.03992225701182872,0.019625769928097725,12.0
blstm,k1,r2,train distance 1,0,test_dist1,-0.42644538679613375,-0.6007614995987689,0.012198365293443203,
blstm,k1,r2,train distance 1,0,test_dist2,0.03858273486720858,-0.027482272392750806,0.02327498234808445,
blstm,k1,r2,train distance 1,0,test_dist3,0.002507406932200124,-0.009118184129611295,0.02643970027565956,
blstm,k1,r2,train distance 1,0,test_dist4,0.04025987500745407,-0.0016742067468058508,0.02458079718053341,
blstm,k1,r2,train distance 1,0,test_dist5,0.04702276354972127,-0.0013765829629976967,0.021378793753683567,
blstm,k1,r2,train distance 1,0,test_dist6,-0.12957166773274137,-0.11976401233853418,0.02004123665392399,
blstm,k1,r2,train distance 2,0,train,0.9459201730321659,0.8943320330259618,0.0026143917348235846,49.0
blstm,k1,r2,train distance 2,0,test_dist1,0.9599453727578221,0.8599709627066946,0.001067070523276925,
blstm,k1,r2,train distance 2,0,test_dist2,0.914825790213746,0.8309633310577674,0.0038290931843221188,
blstm,k1,r2,train distance 2,0,test_dist3,0.8593856302130655,0.7327393871800769,0.007002440746873617,
blstm,k1,r2,train distance 2,0,test_dist4,0.70292289571376,0.4596311517459012,0.01326049491763115,
blstm,k1,r2,train distance 2,0,test_dist5,0.4447177280594079,-0.016174911404954084,0.021724997088313103,
blstm,k1,r2,train distance 2,0,test_dist6,0.04412905451810346,-0.8345567645059551,0.03328986465930939,
blstm,k1,r2,train distance 3,0,train,0.9976211961067996,0.9942414959744021,0.00014863609249005094,80.0
blstm,k1,r2,train distance 3,0,test_dist1,0.9995647068315934,0.9836036197126874,0.00012494617840275168,
blstm,k1,r2,train distance 3,0,test_dist2,0.9974125749560112,0.9931527587493533,0.00015510673983953893,
blstm,k1,r2,train distance 3,0,test_dist3,0.9948585276445752,0.9882741759015219,0.00030722591327503324,
blstm,k1,r2,train distance 3,0,test_dist4,0.9851517937951705,0.9686627614651002,0.0007690067286603153,
blstm,k1,r2,train distance 3,0,test_dist5,0.9325783714632587,0.863684192077129,0.0029050830053165555,
blstm,k1,r2,train distance 3,0,test_dist6,0.7929753031311093,0.5984378613768959,0.007238528924062848,
blstm,k1,r2,train distance 4,0,train,0.9989223720248356,0.9977643670545093,5.706779629690573e-05,44.0
blstm,k1,r2,train distance 4,0,test_dist1,0.999412986333048,0.9970229501042145,2.2686164811602794e-05,
blstm,k1,r2,train distance 4,0,test_dist2,0.9993827970186528,0.9986431923235272,3.073500556638464e-05,
blstm,k1,r2,train distance 4,0,test_dist3,0.9991571303149759,0.998280251924389,4.5058768591843545e-05,
blstm,k1,r2,train distance 4,0,test_dist4,0.9986667420410368,0.997236232619016,6.782205309718847e-05,
blstm,k1,r2,train distance 4,0,test_dist5,0.996727601528047,0.9924064977447764,0.00016282516298815608,
blstm,k1,r2,train distance 4,0,test_dist6,0.9892404942408022,0.9701308263987999,0.0005533337534870952,
blstm,k1,r2,train distance 5,0,train,0.9993937268701846,0.9986721892640453,3.105422575362564e-05,34.0
blstm,k1,r2,train distance 5,0,test_dist1,0.9977647236426923,0.9954941463625809,3.433618985582143e-05,
blstm,k1,r2,train distance 5,0,test_dist2,0.9995562263192825,0.9986606348508958,3.033988832612522e-05,
blstm,k1,r2,train distance 5,0,test_dist3,0.9995631848748906,0.9989644861382972,2.713128924369812e-05,
blstm,k1,r2,train distance 5,0,test_dist4,0.9994392990164742,0.9987045802519176,3.1789226341061294e-05,
blstm,k1,r2,train distance 5,0,test_dist5,0.9992501265397341,0.9984361768832389,3.349188045831397e-05,
blstm,k1,r2,train distance 5,0,test_dist6,0.9981734648231914,0.9960322288843034,7.02213765180204e-05,
blstm,k1,r2,train distance 6,0,train,0.9993740516825192,0.9987012269935873,2.7543660172867884e-05,30.0
blstm,k1,r2,train distance 6,0,test_dist1,0.9996877773541507,0.9954581988526379,3.461012238403782e-05,
blstm,k1,r2,train distance 6,0,test_dist2,0.9994958022434525,0.9985415635405304,3.3037147659342736e-05,
blstm,k1,r2,train distance 6,0,test_dist3,0.9995458196256017,0.9989418058555718,2.7725529434974305e-05,
blstm,k1,r2,train distance 6,0,test_dist4,0.9994794878239646,0.9989117416893377,2.670554385986179e-05,
blstm,k1,r2,train distance 6,0,test_dist5,0.9993608954507135,0.998678847449663,2.8368053790472914e-05,
blstm,k1,r2,train distance 6,0,test_dist6,0.999199677690908,0.99835794129092,2.9128807909728494e-05,
blstm,k1,r4,train distance 1,0,train,0.5520316179323224,0.03233431691112554,0.01587805710732937,10.0
blstm,k1,r4,train distance 1,0,test_dist1,0.7621428591300441,0.03337279075513244,0.016844939440488815,
blstm,k1,r4,train distance 1,0,test_dist2,0.48903027183167747,-0.5215739016363437,0.022581500932574272,
blstm,k1,r4,train distance 1,0,test_dist3,0.18090927830909123,-1.0858309583170591,0.046512871980667114,
blstm,k1,r4,train distance 1,0,test_dist4,0.017280166964900503,-1.8386522248379435,0.06081848219037056,
blstm,k1,r4,train distance 1,0,test_dist5,-0.16959064248415956,-2.6819261329772375,0.07938181236386299,
blstm,k1,r4,train distance 1,0,test_dist6,-0.15647080010002098,-2.7067012399878374,0.08820313960313797,
blstm,k1,r4,train distance 2,0,train,0.9269463317809087,0.8554951517152242,0.0033786320127546787,38.0
blstm,k1,r4,train distance 2,0,test_dist1,0.9856384489749752,0.8659485994754564,0.0023360480554401875,
blstm,k1,r4,train distance 2,0,test_dist2,0.8978325509375829,0.7907009665056626,0.003106182673946023,
blstm,k1,r4,train distance 2,0,test_dist3,0.7628208009556382,0.5525069282130366,0.00997884664684534,
blstm,k1,r4,train distance 2,0,test_dist4,0.4961704734566357,0.09671377324656205,0.019353020936250687,
blstm,k1,r4,train distance 2,0,test_dist5,0.14421726041248237,-0.3697798379524124,0.029459127224981785,
blstm,k1,r4,train distance 2,0,test_dist6,-0.14543759288342503,-0.5799476780664519,0.03754790127277374,
blstm,k1,r4,train distance 3,0,train,0.9964467482527122,0.9919140645018464,0.00017673235561233014,63.0
blstm,k1,r4,train distance 3,0,test_dist1,0.999663409716098,0.9966994543044906,5.7516990636941046e-05,
blstm,k1,r4,train distance 3,0,test_dist2,0.9967137580077039,0.9904701134430405,0.0001414319413015619,
blstm,k1,r4,train distance 3,0,test_dist3,0.9915562967885129,0.9820725838843893,0.0003997714084107429,
blstm,k1,r4,train distance 3,0,test_dist4,0.9803925458918078,0.959395956895246,0.000869946728926152,
blstm,k1,r4,train distance 3,0,test_dist5,0.930648915659422,0.8621731545927048,0.0029624690068885684,
blstm,k1,r4,train distance 3,0,test_dist6,0.8400381311578495,0.6982198163985988,0.007110530277714133,
blstm,k1,r4,train distance 4,0,train,0.9980297709482339,0.9959735943985829,8.754956215852871e-05,36.0
blstm,k1,r4,train distance 4,0,test_dist1,0.999901395523781,0.9984832102355642,2.6432351660332642e-05,
blstm,k1,r4,train distance 4,0,test_dist2,0.9976149991432682,0.9949555261561216,7.486445247195661e-05,
blstm,k1,r4,train distance 4,0,test_dist3,0.9981032861641626,0.9961426327885847,8.601714216638356e-05,
blstm,k1,r4,train distance 4,0,test_dist4,0.9975297110745857,0.9949642762945649,0.00010789101361297071,
blstm,k1,r4,train distance 4,0,test_dist5,0.9943763381531942,0.9879426658807462,0.000260290878941305,
blstm,k1,r4,train distance 4,0,test_dist6,0.9832787205861391,0.9607975686741153,0.0009286500862799585,
blstm,k1,r4,train distance 5,0,train,0.9990296766972961,0.9980403448791014,4.352917928302374e-05,27.0
blstm,k1,r4,train distance 5,0,test_dist1,0.999723108933229,0.9983489732895064,2.877163205994293e-05,
blstm,k1,r4,train distance 5,0,test_dist2,0.9992829236116951,0.9979720187566616,3.009703323186841e-05,
blstm,k1,r4,train distance 5,0,test_dist3,0.999267489665333,0.9984196674993394,3.5240536817582324e-05,
blstm,k1,r4,train distance 5,0,test_dist4,0.9991706990420204,0.9983114246141608,3.617793845478445e-05,
blstm,k1,r4,train distance 5,0,test_dist5,0.9988763381977922,0.9976522073783501,5.064295692136511e-05,
blstm,k1,r4,train distance 5,0,test_dist6,0.9978678312485725,0.9953264318617284,0.00011041978359571658,
blstm,k1,r4,train distance 6,0,train,0.9990254171431712,0.9980006791360735,4.590681649125671e-05,25.0
blstm,k1,r4,train distance 6,0,test_dist1,0.9997765437060454,0.9993282315913746,1.1706579243764281e-05,
blstm,k1,r4,train distance 6,0,test_dist2,0.9980631182392092,0.9958985659076907,6.0868904256494716e-05,
blstm,k1,r4,train distance 6,0,test_dist3,0.9989737519931606,0.9977222892240538,5.079168840893544e-05,
blstm,k1,r4,train distance 6,0,test_dist4,0.9989934864599487,0.9979622130200096,4.3659838411258534e-05,
blstm,k1,r4,train distance 6,0,test_dist5,0.9989494661804995,0.9978640586403278,4.599178100761492e-05,
blstm,k1,r4,train distance 6,0,test_dist6,0.9990719650623417,0.9979553584452712,4.888916009804234e-05,
blstm,k1,r0,train distance 1,0,train,0.2934343153737944,-0.0964629521739675,0.01054181158542633,24.0
blstm,k1,r0,train distance 1,0,test_dist1,-0.04600544136859012,-0.7546326883893817,0.022138532251119614,
