model,landscape,replicate,cv_fold,data_split,pearson_r,r2,mse,train_epochs
blstm,k0,r2,0,train,0.9997508906578209,0.9994729679588018,1.1283603319162993e-05,9.0
blstm,k0,r2,0,test,0.9997530333401617,0.9994766869326815,1.118547825171845e-05,
blstm,k0,r4,0,train,0.9998285766777252,0.999598269940447,8.340390195371583e-06,11.0
blstm,k0,r4,0,test,0.9998255169774283,0.9995920117119892,8.50927463034168e-06,
blstm,k0,r0,0,train,0.9997104364370027,0.999241627126389,1.7001191353253825e-05,9.0
blstm,k0,r0,0,test,0.999717981600817,0.9992596651331178,1.714742975309491e-05,
blstm,k0,r7,0,train,0.9999197348209141,0.9998233707273619,4.01433901156691e-06,16.0
blstm,k0,r7,0,test,0.9999206078805191,0.9998256125590059,3.933231073460774e-06,
blstm,k1,r2,0,train,0.9995779343857039,0.9991334488111678,1.8332321575910198e-05,33.0
blstm,k1,r2,0,test,0.9995432867024336,0.9990611958771782,1.9699758195201866e-05,
blstm,k1,r4,0,train,0.9991225892083889,0.9981465170713057,4.2445763124545155e-05,27.0
blstm,k1,r4,0,test,0.9990609965738687,0.9980282880815429,4.5054930524202064e-05,
blstm,k1,r0,0,train,0.9973445959616506,0.9946829264878035,0.00010579366253774711,15.0
blstm,k1,r0,0,test,0.9973865863260806,0.9947705627641131,0.0001062285344232805,
blstm,k1,r7,0,train,0.9994410116277298,0.9988510883219748,2.7955229023446965e-05,32.0
blstm,k1,r7,0,test,0.9994136818305105,0.9988021197892468,2.8736904641846196e-05,
blstm,k2,r2,0,train,0.9979163653174639,0.9955449038882883,8.141028114263655e-05,69.0
blstm,k2,r2,0,test,0.997227246756717,0.9942824124190568,0.00010367298236815258,
blstm,k2,r4,0,train,0.9971603154237441,0.9943268324321334,0.00011442781243730631,40.0
blstm,k2,r4,0,test,0.9965570706605897,0.9931229483161318,0.00013581692473962903,
blstm,k2,r0,0,train,0.9968507549008118,0.9934560750317989,0.00014312442401301508,45.0
blstm,k2,r0,0,test,0.9955732832810139,0.9906342264095548,0.0002032402902841568,
blstm,k2,r7,0,train,0.9978797648666106,0.9956790941502804,8.633708057459444e-05,62.0
blstm,k2,r7,0,test,0.9967851456419105,0.9934019867019457,0.00013204464048612862,
blstm,k3,r2,0,train,0.9874708145898631,0.9745630848493732,0.0005184729326222288,88.0
blstm,k3,r2,0,test,0.9602594098290628,0.9204398352167069,0.00156510213855654,
blstm,k3,r4,0,train,0.9860529014838529,0.972256377746916,0.0005570121299426415,60.0
blstm,k3,r4,0,test,0.9575263297860198,0.9160654828864149,0.001620894786901772,
blstm,k3,r0,0,train,0.9893387976114202,0.9784657628820889,0.0004054009332321584,71.0
blstm,k3,r0,0,test,0.9717252444898576,0.9439193735352046,0.0010694766882807017,
blstm,k3,r7,0,train,0.9833029708797545,0.9668805149471239,0.0006932468937807961,90.0
blstm,k3,r7,0,test,0.937145434246393,0.8771704658683955,0.002556728711351752,
blstm,k4,r2,0,train,0.7999457519273542,0.6386289006416195,0.006792732244847636,53.0
blstm,k4,r2,0,test,0.4477398267160073,0.11161988453500504,0.016641512140631677,
blstm,k4,r4,0,train,0.8026697054417086,0.6415920713594145,0.006701978193105836,49.0
blstm,k4,r4,0,test,0.4069731205968413,0.06457238891855532,0.01748042143881321,
blstm,k4,r0,0,train,0.2870651938561644,0.08224325572654123,0.01683422178030014,64.0
blstm,k4,r0,0,test,0.14652658463319432,0.004310688532852547,0.01852605603635311,
blstm,k4,r7,0,train,0.31870998000153333,0.0983890794514225,0.016863390607269185,58.0
blstm,k4,r7,0,test,0.17294719477436393,0.01864782467084214,0.018143804371356965,
blstm,k5,r2,0,train,0.010351871872027373,9.919909125333248e-05,0.020008312734334094,16.0
blstm,k5,r2,0,test,-0.005988384126919888,-0.00022542348870735474,0.020415183529257773,
blstm,k5,r4,0,train,0.008981378125158614,6.155960151787987e-05,0.020362779007930504,13.0
blstm,k5,r4,0,test,-0.0020774694360459023,-8.624857919747875e-05,0.019546912238001823,
blstm,k5,r0,0,train,0.0037904787522216295,-0.0007504271850828914,0.019376149205000776,11.0
blstm,k5,r0,0,test,0.02105667941960658,-0.00029027147995330793,0.019037701934576035,
blstm,k5,r7,0,train,0.0035797582723534217,-0.0039031756032630316,0.019977827311346407,11.0
blstm,k5,r7,0,test,0.008960755488004457,-0.002327656135154399,0.019721059128642082,
cnn,k0,r2,0,train,0.9997131405058178,0.9993300723606938,1.434166748176243e-05,12.0
cnn,k0,r2,0,test,0.9997133298249836,0.9993253821007998,1.4564514640369452e-05,
cnn,k0,r4,0,train,0.9998285941220111,0.9996157240875574,7.991209402366381e-06,14.0
cnn,k0,r4,0,test,0.9998293785612152,0.9996160924631441,8.01884598331526e-06,
cnn,k0,r0,0,train,0.999836338403943,0.9996043372716221,8.868131772032939e-06,16.0
cnn,k0,r0,0,test,0.9998318875400972,0.9995911303808872,9.377005881106015e-06,
cnn,k0,r7,0,train,0.9997671920343707,0.9994688813131674,1.2161419889659891e-05,14.0
cnn,k0,r7,0,test,0.999764551297737,0.9994662878168932,1.2023499948554672e-05,
cnn,k1,r2,0,train,0.9992053142921554,0.998406997193143,3.3941540191575e-05,22.0
cnn,k1,r2,0,test,0.9991757574959516,0.9983465433004161,3.4660747041925787e-05,
cnn,k1,r4,0,train,0.9974106884824595,0.9941129893748482,0.00013439100860667072,17.0
cnn,k1,r4,0,test,0.9971679722335309,0.9937105984541457,0.0001428718154784292,
cnn,k1,r0,0,train,0.9991715539867533,0.9981578569294787,3.6845689081880996e-05,39.0
cnn,k1,r0,0,test,0.9990724465983233,0.9979490463936875,4.169252497376874e-05,
cnn,k1,r7,0,train,0.999266473753423,0.9984591220551613,3.7351049717184846e-05,22.0
cnn,k1,r7,0,test,0.9992185020510196,0.998355830183505,3.928704682039097e-05,
cnn,k2,r2,0,train,0.9923575268305631,0.9847664158572849,0.0002772494136527377,52.0
cnn,k2,r2,0,test,0.9900646867245999,0.9802234380514281,0.00035831164568662645,
cnn,k2,r4,0,train,0.9948541825439075,0.9897034892739841,0.0002081821577647995,52.0
cnn,k2,r4,0,test,0.9930342286105234,0.9860331457569183,0.00027471077628433705,
cnn,k2,r0,0,train,0.9915677537029606,0.982289569801416,0.0003886297620881937,36.0
cnn,k2,r0,0,test,0.9877306880370426,0.9744546472699703,0.00055293133482337,
cnn,k2,r7,0,train,0.9937626769299,0.9875494621017841,0.00024703146022818004,34.0
cnn,k2,r7,0,test,0.9919357413201921,0.9839322939275743,0.00032292160321958365,
cnn,k3,r2,0,train,0.967070422329559,0.9346178446078139,0.0013155426254103843,65.0
cnn,k3,r2,0,test,0.9013796741848024,0.8121693829195246,0.0036922719795256854,
cnn,k3,r4,0,train,0.960150351185973,0.9214097243503448,0.0015716143381340724,72.0
cnn,k3,r4,0,test,0.8641636024246628,0.7457586402893606,0.004923541471362114,
cnn,k3,r0,0,train,0.9611128656039597,0.9232146913795906,0.001436492164717301,46.0
cnn,k3,r0,0,test,0.9005403039772212,0.8108906516024703,0.003601546538993716,
cnn,k3,r7,0,train,0.9768918755400167,0.9532707359241548,0.0009774964909363341,55.0
cnn,k3,r7,0,test,0.9445037035577392,0.8907293858034312,0.002268399391323328,
cnn,k4,r2,0,train,0.7907618938665859,0.6236894144898588,0.007100958818275677,40.0
cnn,k4,r2,0,test,0.49195719764415874,0.15815224640619163,0.015701866522431374,
cnn,k4,r4,0,train,0.49592432202567294,0.24268875899969167,0.014109205552621892,21.0
cnn,k4,r4,0,test,0.26842705783796406,0.043887321252652156,0.017813859134912492,
cnn,k4,r0,0,train,0.6147144908178257,0.37663620447547597,0.011433453544190056,25.0
cnn,k4,r0,0,test,0.31951524082840144,0.04555595547229219,0.017700840532779694,
cnn,k4,r7,0,train,0.4918065850917086,0.2349042144181025,0.014301614002569726,24.0
cnn,k4,r7,0,test,0.26671983028966534,0.038230055649864925,0.017731469124555588,
cnn,k5,r2,0,train,0.08234306902699678,0.0024705941062469483,0.019949937239289284,10.0
cnn,k5,r2,0,test,0.01850203173875973,-0.013172269466566355,0.02067387253046036,
cnn,k5,r4,0,train,0.058612389301514765,-0.0026631222971444934,0.020413876756241445,9.0
cnn,k5,r4,0,test,-0.010006151242377994,-0.02104211584757576,0.019965530931949617,
cnn,k5,r0,0,train,0.11585702440031474,0.010836012822596497,0.019141149560087604,12.0
cnn,k5,r0,0,test,0.020109161216875438,-0.01046839823375989,0.019222378730773926,
cnn,k5,r7,0,train,0.10739139681575482,0.010383651677697281,0.019694966607187923,11.0
cnn,k5,r7,0,test,0.009300654937198196,-0.01423988945784771,0.01996288001537323,
gb,k0,r2,0,train,0.9999993765518351,0.9999955059787288,9.629272069181052e-08,
gb,k0,r2,0,test,0.9999993746217738,0.9999954639011219,9.711414410360625e-08,
gb,k0,r4,0,train,0.9999994057846192,0.9999957012866807,8.936987382092792e-08,
gb,k0,r4,0,test,0.999999406877759,0.9999955609986431,9.27958557871883e-08,
gb,k0,r0,0,train,0.9999995516872372,0.9999972222967546,6.226079943634536e-08,
gb,k0,r0,0,test,0.9999995676384642,0.9999972605710631,6.307119503004762e-08,
gb,k0,r7,0,train,0.9999995878420824,0.9999974988694108,5.715742481683912e-08,
gb,k0,r7,0,test,0.9999995881320838,0.999997489789221,5.6399550387258035e-08,
gb,k1,r2,0,train,0.9999367968787304,0.9998735813530764,2.673327734776544e-06,
gb,k1,r2,0,test,0.9998482550922015,0.9996962126827126,6.411030021023339e-06,
gb,k1,r4,0,train,0.9999090961953778,0.9998181740396441,4.162330046530291e-06,
gb,k1,r4,0,test,0.9997978618878423,0.9995942205518206,9.249681328274538e-06,
gb,k1,r0,0,train,0.9999165434505535,0.9998330713017185,3.3247244781779758e-06,
gb,k1,r0,0,test,0.9998116850195545,0.9996227397367905,7.641738326796327e-06,
gb,k1,r7,0,train,0.9999407003453011,0.9998813923097873,2.884586705048032e-06,
