model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,gb1,r0,0,10,train,0.9928563313280303,0.9857490062713623,0.0022551578312364016
blstm,gb1,r0,0,10,test,0.9860766884704046,0.9723212718963623,0.004049006581772119
blstm,gb1,r0,0,50,train,0.9872893245764507,0.9743031859397888,0.00407095332769279
blstm,gb1,r0,0,50,test,0.9758824445425789,0.9520108699798584,0.007047790801152587
blstm,gb1,r0,0,100,train,-0.012047064956712428,-4.553794860839844e-05,0.15825363012970003
blstm,gb1,r0,0,100,test,-0.006213129262222061,-0.00017631053924560547,0.14891128664215406
blstm,gb1,r0,0,200,train,,-1.0371208190917969e-05,0.15828038210797513
blstm,gb1,r0,0,200,test,,-8.821487426757812e-06,0.14848125359769596
blstm,gb1,r0,0,250,train,0.06823120276741264,0.003811180591583252,0.1576726651057983
blstm,gb1,r0,0,250,test,0.07538136709358718,0.004278779029846191,0.14784440701290713
blstm,gb1,r0,0,500,train,,-2.1696090698242188e-05,0.15828221942433435
blstm,gb1,r0,0,500,test,,-2.2649765014648438e-06,0.14848027706651365
blstm,gb1,r1,0,10,train,0.993401408136773,0.98663729429245,0.0021148592991849934
blstm,gb1,r1,0,10,test,0.987278091190276,0.9746598601341248,0.003747161221690476
blstm,gb1,r1,0,50,train,0.6515968229484745,0.4147740602493286,0.09268405880683507
blstm,gb1,r1,0,50,test,0.641210098830446,0.39651918411254883,0.09006303523977598
blstm,gb1,r1,0,100,train,3.1802603336350543e-06,-1.33514404296875e-05,0.1582485580036783
blstm,gb1,r1,0,100,test,,-0.00010180473327636719,0.14890021433432896
blstm,gb1,r1,0,200,train,0.12627306312185516,9.715557098388672e-06,0.1582774619739025
blstm,gb1,r1,0,200,test,0.1198453215880744,0.00013566017150878906,0.14846005227606177
blstm,gb1,r1,0,250,train,0.9784862429015541,0.956744909286499,0.006852680220244787
blstm,gb1,r1,0,250,test,0.9734207212833733,0.9463881850242615,0.007897926545780847
blstm,gb1,r1,0,500,train,0.005194315233615965,-7.236003875732422e-05,0.15829033793037772
blstm,gb1,r1,0,500,test,0.030504927673803195,-6.318092346191406e-06,0.14848085366568323
blstm,gb1,r2,0,10,train,0.9924452313632164,0.9842441082000732,0.002492462449038449
blstm,gb1,r2,0,10,test,0.9849183344302517,0.9688128232955933,0.004593366640619934
blstm,gb1,r2,0,50,train,,-5.805492401123047e-05,0.15825561586862955
blstm,gb1,r2,0,50,test,-6.314422746012127e-06,-0.00020110607147216797,0.14891497865319253
blstm,gb1,r2,0,100,train,,-4.291534423828125e-06,0.15824716786543527
blstm,gb1,r2,0,100,test,,-7.259845733642578e-05,0.148895854751269
blstm,gb1,r2,0,200,train,,-7.176399230957031e-05,0.15829023606597614
blstm,gb1,r2,0,200,test,,-6.079673767089844e-06,0.1484808265152624
blstm,gb1,r2,0,250,train,0.9932442692613622,0.9864355325698853,0.002145541755360169
blstm,gb1,r2,0,250,test,0.982620484101386,0.9651094079017639,0.005127543370413073
blstm,gb1,r2,0,500,train,,-1.5735626220703125e-05,0.15828101344916046
blstm,gb1,r2,0,500,test,,-0.00010848045349121094,0.14849604817770296
blstm,gb1,r3,0,10,train,0.9930705207089533,0.9860749840736389,0.0022038348829055317
blstm,gb1,r3,0,10,test,0.985637999634179,0.9713670015335083,0.004203632551555832
blstm,gb1,r3,0,50,train,0.9910201342944702,0.9820795655250549,0.002838513330341532
blstm,gb1,r3,0,50,test,0.9784195791285892,0.9571502804756165,0.006290914444252849
blstm,gb1,r3,0,100,train,0.0017039136275989741,-5.7816505432128906e-05,0.1582556649660453
blstm,gb1,r3,0,100,test,0.0021594746403055254,-2.384185791015625e-06,0.14888538469870885
blstm,gb1,r3,0,200,train,,-3.266334533691406e-05,0.15828364496875522
blstm,gb1,r3,0,200,test,,-0.0001493692398071289,0.14850211332915192
blstm,gb1,r3,0,250,train,0.031049686707629365,0.00031316280364990234,0.15822928947293097
blstm,gb1,r3,0,250,test,0.034669873628955246,0.0008225440979003906,0.14836819899284234
blstm,gb1,r3,0,500,train,-0.006236049178674374,-2.1457672119140625e-06,0.1582789412007118
blstm,gb1,r3,0,500,test,-0.0030073560896890505,-6.186962127685547e-05,0.14848913441775208
cnn,gb1,r0,0,10,train,0.9897050548278087,0.9781700968742371,0.0034554048827411528
cnn,gb1,r0,0,10,test,0.9782422184360045,0.9556306004524231,0.006644934850434462
cnn,gb1,r0,0,50,train,0.4765260346649871,0.22675275802612305,0.12234910361023031
