model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,k0,r5,0,10,train,0.9998502220535974,0.9993488788604736,1.1907875360568715e-05
blstm,k0,r5,0,10,test,0.9998552076600249,0.9993704557418823,1.1649695079540833e-05
blstm,k0,r5,0,50,train,0.9889041665277658,0.9564056396484375,0.0007935333292392132
blstm,k0,r5,0,50,test,0.9894126017242851,0.9572036862373352,0.0007902491022832691
blstm,k0,r5,0,100,train,0.4141236675659155,0.16481107473373413,0.015203553300939109
blstm,k0,r5,0,100,test,0.4153997572262935,0.16642743349075317,0.015468388423323631
blstm,k0,r5,0,200,train,0.16790997325291757,-0.0006084442138671875,0.018242991000816628
blstm,k0,r5,0,200,test,0.17710904751042023,-0.0005353689193725586,0.018271481432020665
blstm,k0,r5,0,250,train,0.10269206471065848,-0.022457480430603027,0.01864246027292432
blstm,k0,r5,0,250,test,0.1158454527387569,-0.02246534824371338,0.018642564304172993
blstm,k0,r5,0,500,train,0.3621125162363945,0.1290082335472107,0.015895115312289546
blstm,k0,r5,0,500,test,0.37805939576673353,0.1418389081954956,0.01575809605419636
blstm,k0,r4,0,10,train,0.9991788631587721,0.9981531500816345,3.8395618168196e-05
blstm,k0,r4,0,10,test,0.9991447942769573,0.9980840086936951,4.02295365347527e-05
blstm,k0,r4,0,50,train,0.9962344871466954,0.9907812476158142,0.00019156713250068655
blstm,k0,r4,0,50,test,0.9962371833521481,0.9908195734024048,0.00019137489143759013
blstm,k0,r4,0,100,train,0.42232967912609354,0.16341572999954224,0.01734618087740321
blstm,k0,r4,0,100,test,0.4262277184514618,0.16234421730041504,0.017560647800564766
blstm,k0,r4,0,200,train,-0.03407104200330591,-0.011039972305297852,0.02101727675747227
blstm,k0,r4,0,200,test,-0.03669565213149184,-0.015111207962036133,0.02112017571926117
blstm,k0,r4,0,250,train,-0.09239146020029654,-0.0065538883209228516,0.020920211600290763
blstm,k0,r4,0,250,test,-0.09926705853915596,-0.0039174556732177734,0.020872866734862328
blstm,k0,r4,0,500,train,0.4553391522316813,0.20651733875274658,0.016494593230655063
blstm,k0,r4,0,500,test,0.44433885423220554,0.19562041759490967,0.016736383177340032
blstm,k0,r7,0,10,train,0.9993454544276141,0.9970861673355103,6.6592097650037e-05
blstm,k0,r7,0,10,test,0.9993231081003507,0.9970313310623169,6.68150227284059e-05
blstm,k0,r7,0,50,train,0.9955019047891287,0.987808108329773,0.00027817827312422817
blstm,k0,r7,0,50,test,0.995520293566021,0.9881348013877869,0.0002667497028596699
blstm,k0,r7,0,100,train,0.40530257959646077,0.15615969896316528,0.019194712470236578
blstm,k0,r7,0,100,test,0.4150726828782765,0.1640169620513916,0.018858225643634798
blstm,k0,r7,0,200,train,0.10927051457858217,-0.0006402730941772461,0.02283240990662897
blstm,k0,r7,0,200,test,0.09197852536924733,-0.0006927251815795898,0.022686136700212956
blstm,k0,r7,0,250,train,0.017600835383158486,-0.000725865364074707,0.02283441063922805
blstm,k0,r7,0,250,test,0.018288719120874042,-0.0007824897766113281,0.022687706723809244
blstm,k0,r7,0,500,train,0.32111741764443724,0.10141468048095703,0.02050980487586679
blstm,k0,r7,0,500,test,0.3030755446400768,0.09098559617996216,0.020738909579813482
blstm,k0,r2,0,10,train,0.9993197648324281,0.9965739250183105,7.328277417017441e-05
blstm,k0,r2,0,10,test,0.9993261709479508,0.9965965747833252,7.279491692315787e-05
