model,landscape,replicates,tuning_landscape,cv_fold,sequence_length,data_split,pearson_r,r2,mse_loss
cnn,k1,r0,True,0,10,0.8,0.9942503257264605,0.9875540733337402,0.0002485230550125896
cnn,k1,r0,True,0,10,0.8,0.9942279165003483,0.9874774217605591,0.0002596112521132454
cnn,k1,r0,True,0,100,0.8,0.6315745254249159,0.39832770824432373,0.011982941823835308
cnn,k1,r0,True,0,100,0.8,0.6222051663149342,0.3865925669670105,0.012218097224831581
cnn,k1,r0,True,0,250,0.8,0.5937949688348532,0.3449947237968445,0.013046653226834454
cnn,k1,r0,True,0,250,0.8,0.5965810529347773,0.34637773036956787,0.013175573003919501
cnn,k1,r5,False,0,10,0.8,0.9877252249001354,0.9747341871261597,0.0005233185192746287
cnn,k1,r5,False,0,10,0.8,0.9872346673841943,0.9735637903213501,0.0005396637949161232
cnn,k1,r5,False,0,100,0.8,0.642866132594078,0.37800467014312744,0.012888522390779611
cnn,k1,r5,False,0,100,0.8,0.6365461156567223,0.36540812253952026,0.012952884845435619
cnn,k1,r5,False,0,250,0.8,0.6453456283260507,0.41358107328414917,0.01215670817876107
cnn,k1,r5,False,0,250,0.8,0.6360118120884684,0.40329504013061523,0.012240629937303694
cnn,k1,r4,False,0,10,0.8,0.9896313023623144,0.9643325209617615,0.000816823384485434
cnn,k1,r4,False,0,10,0.8,0.9891174926100836,0.9633380770683289,0.0008334348327480257
cnn,k1,r4,False,0,100,0.8,0.5342576127255406,0.2359359860420227,0.01748592245417672
cnn,k1,r4,False,0,100,0.8,0.5384694528343295,0.24664485454559326,0.01719711609184742
cnn,k1,r4,False,0,250,0.8,0.6261423790849217,0.38425225019454956,0.014096025211660012
cnn,k1,r4,False,0,250,0.8,0.6284994725864002,0.3856077194213867,0.014046455439376203
cnn,k1,r7,False,0,10,0.8,0.9953139622959086,0.9866219758987427,0.000325422510630577
cnn,k1,r7,False,0,10,0.8,0.9950352096202559,0.9859711527824402,0.0003345840348629281
cnn,k1,r7,False,0,100,0.8,0.6583988760112128,0.43098217248916626,0.013841545083434196
cnn,k1,r7,False,0,100,0.8,0.6548448292471304,0.42550498247146606,0.013999345619231463
cnn,k1,r7,False,0,250,0.8,0.7362658708111562,0.44193053245544434,0.013573065872163805
cnn,k1,r7,False,0,250,0.8,0.736170520259863,0.44457101821899414,0.01336597298320971
cnn,k1,r2,False,0,10,0.8,0.992707486480259,0.9776137471199036,0.000473965922169186
cnn,k1,r2,False,0,10,0.8,0.9923370487152436,0.9766011834144592,0.0004962144797900691
cnn,k1,r2,False,0,100,0.8,0.6555125506505828,0.3899105191230774,0.01292486662498197
cnn,k1,r2,False,0,100,0.8,0.6461626957177102,0.38034355640411377,0.012847727537155152
cnn,k1,r2,False,0,250,0.8,0.6966817382348182,0.48039549589157104,0.010989705662000668
cnn,k1,r2,False,0,250,0.8,0.6865641906724854,0.4679965376853943,0.011142458668664881
