model,landscape,replicates,tuning_landscape,cv_fold,sequence_length,data_split,pearson_r,r2,mse_loss
blstm,k1,r0,True,0,10,train,0.9997449780374691,0.9994627833366394,1.0692198737013166e-05
blstm,k1,r0,True,0,10,test,0.9997432706323504,0.9994553923606873,1.0973988992191153e-05
blstm,k1,r0,True,0,100,train,0.20875979407243847,0.04328519105911255,0.01904562906034895
blstm,k1,r0,True,0,100,test,0.20271807576569162,0.04082655906677246,0.019323113746941088
blstm,k1,r0,True,0,250,train,-0.039986623085164874,-6.663799285888672e-05,0.019918679349022368
blstm,k1,r0,True,0,250,test,-0.030476356697983126,-4.8279762268066406e-05,0.020227745469463498
blstm,k1,r5,False,0,10,train,0.9995866741462068,0.9988950490951538,2.2900243296848005e-05
blstm,k1,r5,False,0,10,test,0.9995433939054229,0.9988239407539368,2.4247252622444648e-05
blstm,k1,r5,False,0,100,train,0.24373910393199297,0.05867701768875122,0.019517987161069304
blstm,k1,r5,False,0,100,test,0.24949929376104807,0.0608401894569397,0.019120918959379195
blstm,k1,r5,False,0,250,train,-0.057169965259581665,-0.00027191638946533203,0.020739326814878476
blstm,k1,r5,False,0,250,test,-0.04912188687824859,-0.0007430315017700195,0.020439270785764643
blstm,k1,r4,False,0,10,train,0.9994353343348925,0.998727023601532,2.912665464415064e-05
blstm,k1,r4,False,0,10,test,0.9993979892246491,0.9986535310745239,3.063031599594979e-05
blstm,k1,r4,False,0,100,train,0.3192343454754226,0.10065573453903198,0.020584457277043444
blstm,k1,r4,False,0,100,test,0.3318767215033951,0.10973465442657471,0.020418777875602246
blstm,k1,r4,False,0,250,train,0.06684209323691823,-0.0006270408630371094,0.02290785902064957
blstm,k1,r4,False,0,250,test,0.056573856550477974,-4.5299530029296875e-05,0.022947643246305615
blstm,k1,r7,False,0,10,train,0.9995704600268348,0.999129593372345,2.111211737477837e-05
blstm,k1,r7,False,0,10,test,0.9995271476844226,0.9990419149398804,2.3203324963105844e-05
blstm,k1,r7,False,0,100,train,0.14122284977288957,0.01979994773864746,0.02380264102405793
blstm,k1,r7,False,0,100,test,0.16777983059811297,0.026438772678375244,0.023806997761130332
blstm,k1,r7,False,0,250,train,0.04644572994668868,-4.0650367736816406e-05,0.02431873722027426
blstm,k1,r7,False,0,250,test,0.048654343491021934,-5.340576171875e-05,0.0242162416444013
blstm,k1,r2,False,0,10,train,0.9991191845676375,0.998228132724762,3.751180662908843e-05
blstm,k1,r2,False,0,10,test,0.9990843776170593,0.9981489181518555,3.911312887794338e-05
blstm,k1,r2,False,0,100,train,0.20774098281192796,0.04285341501235962,0.020245552163671802
blstm,k1,r2,False,0,100,test,0.20957518541036074,0.043386638164520264,0.020102741569280623
blstm,k1,r2,False,0,250,train,0.6644299070872206,0.44144630432128906,0.01181327550327533
blstm,k1,r2,False,0,250,test,0.6542162349988108,0.427959680557251,0.011967754971824195
