model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
blstm,gb1,r0,M0-M1,0,train,0.238405428,-0.54997637,2.73E-05,22
blstm,gb1,r0,M0-M1,0,M1,0.09404232,-4.119458979,2.42E-05,
blstm,gb1,r0,M0-M1,0,M2,0.033338448,-0.005084461,0.013775715,
blstm,gb1,r0,M0-M1,0,M3,-0.0266154,-0.019509388,0.089206184,
blstm,gb1,r0,M0-M1,0,M4,-0.042585572,-0.042270528,0.200768745,
blstm,gb1,r0,M0-M2,0,train,0.806052607,0.648842817,0.001783971,26
blstm,gb1,r0,M0-M2,0,M1,0.739741978,-8.038463754,4.27E-05,
blstm,gb1,r0,M0-M2,0,M2,0.107694913,-0.076019502,0.014747951,
blstm,gb1,r0,M0-M2,0,M3,0.192522782,0.015364152,0.086491836,
blstm,gb1,r0,M0-M2,0,M4,0.251327838,0.020987855,0.188574109,
blstm,gb1,r0,M0-M3,0,train,0.970100061,0.940132806,0.004248989,51
blstm,gb1,r0,M0-M3,0,M1,0.712759991,-0.891378363,8.94E-06,
blstm,gb1,r0,M0-M3,0,M2,0.972424085,0.818208843,0.002491634,
blstm,gb1,r0,M0-M3,0,M3,0.94145848,0.886154369,0.009965876,
blstm,gb1,r0,M0-M3,0,M4,0.874849231,0.748260786,0.04847714,
blstm,gb1,r0,M0-M4,0,train,0.995188358,0.990382171,0.001464606,61
blstm,gb1,r0,M0-M4,0,M1,0.015670305,-1.40823386,1.14E-05,
blstm,gb1,r0,M0-M4,0,M2,0.992765443,0.928043162,0.000986242,
blstm,gb1,r0,M0-M4,0,M3,0.989012282,0.977766114,0.00200021,
blstm,gb1,r0,M0-M4,0,M4,0.984613628,0.969258328,0.005894713,
blstm,gb1,r1,M0-M1,0,train,-0.001786351,-0.964809312,3.76E-05,11
blstm,gb1,r1,M0-M1,0,M1,0.206654228,-0.071171594,3.34E-05,
blstm,gb1,r1,M0-M1,0,M2,-0.015148044,-0.011253386,0.004832894,
blstm,gb1,r1,M0-M1,0,M3,0.025054396,-0.018171427,0.059511332,
blstm,gb1,r1,M0-M1,0,M4,0.030426217,-0.037963247,0.172369177,
blstm,gb1,r1,M0-M2,0,train,0.288156794,0.068726907,0.014717629,11
blstm,gb1,r1,M0-M2,0,M1,0.104256896,-12.19421023,0.000411885,
blstm,gb1,r1,M0-M2,0,M2,0.389648507,0.146819249,0.004077447,
blstm,gb1,r1,M0-M2,0,M3,0.285949833,0.038559155,0.056232596,
blstm,gb1,r1,M0-M2,0,M4,0.318210035,0.01022197,0.164366308,
blstm,gb1,r1,M0-M3,0,train,0.973342731,0.941847787,0.003470022,39
blstm,gb1,r1,M0-M3,0,M1,0.29075049,-0.448976236,4.52E-05,
blstm,gb1,r1,M0-M3,0,M2,0.983252694,0.846336449,0.000734375,
blstm,gb1,r1,M0-M3,0,M3,0.947226043,0.889037713,0.006107177,
blstm,gb1,r1,M0-M3,0,M4,0.810004692,0.639615159,0.059906386,
blstm,gb1,r1,M0-M4,0,train,0.995949337,0.991908852,0.001291299,83
blstm,gb1,r1,M0-M4,0,M1,-0.327873081,-1.079375186,6.49E-05,
blstm,gb1,r1,M0-M4,0,M2,0.984064409,0.96700365,0.000157693,
blstm,gb1,r1,M0-M4,0,M3,0.980801584,0.961949092,0.002159473,
blstm,gb1,r1,M0-M4,0,M4,0.988225163,0.976319513,0.003924108,
blstm,gb1,r2,M0-M1,0,train,0.420933393,-0.218021598,2.07E-05,21
blstm,gb1,r2,M0-M1,0,M1,0.379823088,-1.066845848,4.68E-05,
blstm,gb1,r2,M0-M1,0,M2,-0.02216476,-0.014626245,0.020563815,
blstm,gb1,r2,M0-M1,0,M3,0.008004315,-0.026265684,0.05792755,
blstm,gb1,r2,M0-M1,0,M4,0.019639603,-0.047184041,0.184068768,
blstm,gb1,r2,M0-M2,0,train,0.926976877,0.858057471,0.000774171,57
blstm,gb1,r2,M0-M2,0,M1,0.20095861,-0.307692213,2.96E-05,
blstm,gb1,r2,M0-M2,0,M2,0.168429056,0.012605765,0.020011893,
blstm,gb1,r2,M0-M2,0,M3,0.583751257,0.330243402,0.038295776,
blstm,gb1,r2,M0-M2,0,M4,0.383817968,0.137752178,0.151576818,
blstm,gb1,r2,M0-M3,0,train,0.979801721,0.959371285,0.001525722,42
blstm,gb1,r2,M0-M3,0,M1,-0.168733469,-3.622040297,0.000104704,
blstm,gb1,r2,M0-M3,0,M2,0.995758196,0.989506242,0.000212681,
blstm,gb1,r2,M0-M3,0,M3,0.953911217,0.903764677,0.005451661,
blstm,gb1,r2,M0-M3,0,M4,0.858750599,0.624112822,0.066035885,
blstm,gb1,r2,M0-M4,0,train,0.995936842,0.99181033,0.001293914,68
blstm,gb1,r2,M0-M4,0,M1,0.133107321,-0.385278615,3.14E-05,
blstm,gb1,r2,M0-M4,0,M2,0.995741258,0.982734593,0.000349925,
blstm,gb1,r2,M0-M4,0,M3,0.981558748,0.962825216,0.002024535,
blstm,gb1,r2,M0-M4,0,M4,0.986590328,0.973248866,0.004703164,
blstm,gb1,r3,M0-M1,0,train,0.572586373,-0.405207688,2.07E-05,19
blstm,gb1,r3,M0-M1,0,M1,-0.314423537,-31.42341,5.90E-05,
blstm,gb1,r3,M0-M1,0,M2,-0.094364634,-0.022983747,0.0043711,
blstm,gb1,r3,M0-M1,0,M3,-0.027794585,-0.020511448,0.080392761,
blstm,gb1,r3,M0-M1,0,M4,-0.028006202,-0.036393002,0.180253028,
blstm,gb1,r3,M0-M2,0,train,0.88001852,0.760564813,0.001017682,27
blstm,gb1,r3,M0-M2,0,M1,-0.43396716,-10.38058372,2.07E-05,
blstm,gb1,r3,M0-M2,0,M2,0.494670898,-1.959705414,0.012646505,
blstm,gb1,r3,M0-M2,0,M3,0.34983825,0.114689434,0.069806534,
blstm,gb1,r3,M0-M2,0,M4,0.231767761,0.03463149,0.167895942,
blstm,gb1,r3,M0-M3,0,train,0.962302729,0.925137414,0.004429139,29
blstm,gb1,r3,M0-M3,0,M1,0.545355193,-0.849038539,3.36E-06,
blstm,gb1,r3,M0-M3,0,M2,0.801215649,0.443394213,0.002378317,
blstm,gb1,r3,M0-M3,0,M3,0.919496334,0.844514847,0.012949338,
blstm,gb1,r3,M0-M3,0,M4,0.80858906,0.650915087,0.060642202,
blstm,gb1,r3,M0-M4,0,train,0.996256695,0.992435765,0.001182921,83
blstm,gb1,r3,M0-M4,0,M1,-0.256465405,-2.553037537,6.46E-06,
blstm,gb1,r3,M0-M4,0,M2,0.989981745,0.970652511,0.000125399,
blstm,gb1,r3,M0-M4,0,M3,0.990129366,0.980331425,0.001570416,
blstm,gb1,r3,M0-M4,0,M4,0.985785546,0.971439362,0.004948399,
cnn,gb1,r0,M0-M1,0,train,0.050413907,-2.842409505,6.77E-05,18
cnn,gb1,r0,M0-M1,0,M1,0.069931581,-6.771299371,3.67E-05,
cnn,gb1,r0,M0-M1,0,M2,0.016754666,-0.006791824,0.013799113,
cnn,gb1,r0,M0-M1,0,M3,0.076715643,-0.012864202,0.088619284,
cnn,gb1,r0,M0-M1,0,M4,0.022696369,-0.037515254,0.199852218,
cnn,gb1,r0,M0-M2,0,train,0.707777787,0.491996832,0.002580789,14
cnn,gb1,r0,M0-M2,0,M1,0.615384828,-26.86211693,0.00013164,
cnn,gb1,r0,M0-M2,0,M2,0.230155804,0.04153664,0.013136723,
cnn,gb1,r0,M0-M2,0,M3,0.398536367,0.094057047,0.079392987,
cnn,gb1,r0,M0-M2,0,M4,0.375114749,0.033015364,0.186226031,
cnn,gb1,r0,M0-M3,0,train,0.976557274,0.953313864,0.003380455,44
cnn,gb1,r0,M0-M3,0,M1,0.650556575,-3.188130481,1.98E-05,
cnn,gb1,r0,M0-M3,0,M2,0.978434402,0.954660214,0.000621428,
cnn,gb1,r0,M0-M3,0,M3,0.949118944,0.900644013,0.008352089,
cnn,gb1,r0,M0-M3,0,M4,0.820915981,0.597744975,0.07737568,
cnn,gb1,r0,M0-M4,0,train,0.990490066,0.98086203,0.002947779,50
cnn,gb1,r0,M0-M4,0,M1,0.347129172,-12.80996936,6.52E-05,
cnn,gb1,r0,M0-M4,0,M2,0.986924314,0.957950727,0.000576328,
cnn,gb1,r0,M0-M4,0,M3,0.979443478,0.958716049,0.003651557,
cnn,gb1,r0,M0-M4,0,M4,0.97683166,0.954103725,0.008837267,
cnn,gb1,r1,M0-M1,0,train,0.399447284,-0.195190551,2.28E-05,31
cnn,gb1,r1,M0-M1,0,M1,0.195794842,-0.215285861,3.79E-05,
cnn,gb1,r1,M0-M1,0,M2,-0.013326998,-0.034949612,0.004946141,
cnn,gb1,r1,M0-M1,0,M3,0.038256709,-0.031892724,0.060289174,
cnn,gb1,r1,M0-M1,0,M4,0.027489552,-0.054390816,0.175099666,
cnn,gb1,r1,M0-M2,0,train,0.977728669,0.937091248,0.000994196,16
cnn,gb1,r1,M0-M2,0,M1,-0.243746228,-1.509535623,7.83E-05,
cnn,gb1,r1,M0-M2,0,M2,0.78636894,0.103797749,0.004283051,
cnn,gb1,r1,M0-M2,0,M3,0.549328061,0.296872953,0.040893449,
cnn,gb1,r1,M0-M2,0,M4,0.424769923,0.13910487,0.142969231,
cnn,gb1,r1,M0-M3,0,train,0.985477754,0.971052657,0.001743267,34
cnn,gb1,r1,M0-M3,0,M1,,-0.059851532,3.31E-05,
cnn,gb1,r1,M0-M3,0,M2,0.967573891,0.680676266,0.001526084,
cnn,gb1,r1,M0-M3,0,M3,0.952405711,0.906004631,0.004954072,
cnn,gb1,r1,M0-M3,0,M4,0.806796381,0.648006526,0.058332692,
cnn,gb1,r1,M0-M4,0,train,0.990008999,0.98011665,0.003181018,50
cnn,gb1,r1,M0-M4,0,M1,0.365420657,-0.472475653,4.60E-05,
cnn,gb1,r1,M0-M4,0,M2,0.959700911,0.910191953,0.000429203,
cnn,gb1,r1,M0-M4,0,M3,0.955082922,0.912154605,0.00486322,
cnn,gb1,r1,M0-M4,0,M4,0.978187901,0.956795608,0.007152454,
cnn,gb1,r2,M0-M1,0,train,0.146668395,-2.217040987,5.48E-05,18
cnn,gb1,r2,M0-M1,0,M1,-0.010062178,-1.760933627,6.25E-05,
cnn,gb1,r2,M0-M1,0,M2,0.012437873,-0.010015316,0.02047036,
cnn,gb1,r2,M0-M1,0,M3,0.05542855,-0.017366691,0.057400828,
cnn,gb1,r2,M0-M1,0,M4,0.086435346,-0.037025042,0.182281243,
cnn,gb1,r2,M0-M2,0,train,0.747216907,0.556701714,0.002417801,22
cnn,gb1,r2,M0-M2,0,M1,0.249868106,-3.203755636,9.52E-05,
cnn,gb1,r2,M0-M2,0,M2,0.338956434,0.111755763,0.01800238,
cnn,gb1,r2,M0-M2,0,M3,0.521781527,0.237117189,0.042728014,
cnn,gb1,r2,M0-M2,0,M4,0.386079235,0.097087602,0.15871823,
cnn,gb1,r2,M0-M3,0,train,0.983869892,0.96762766,0.001217731,34
cnn,gb1,r2,M0-M3,0,M1,-0.023073546,-0.320781878,2.99E-05,
cnn,gb1,r2,M0-M3,0,M2,0.976217435,0.951937479,0.000974101,
cnn,gb1,r2,M0-M3,0,M3,0.963127177,0.912376203,0.004904868,
cnn,gb1,r2,M0-M3,0,M4,0.705409339,0.433454387,0.099577708,
cnn,gb1,r2,M0-M4,0,train,0.989536797,0.97771103,0.003523915,40
cnn,gb1,r2,M0-M4,0,M1,0.183587521,-1.467275271,5.59E-05,
cnn,gb1,r2,M0-M4,0,M2,0.988325165,0.950796688,0.000997222,
cnn,gb1,r2,M0-M4,0,M3,0.965608195,0.932234055,0.003722904,
cnn,gb1,r2,M0-M4,0,M4,0.974697508,0.948453703,0.00906745,
cnn,gb1,r3,M0-M1,0,train,0.139410493,-2.244746485,4.79E-05,22
cnn,gb1,r3,M0-M1,0,M1,0.354859769,-63.41432152,0.000117137,
cnn,gb1,r3,M0-M1,0,M2,-0.037652823,-0.023034983,0.004371319,
cnn,gb1,r3,M0-M1,0,M3,0.022434603,-0.018127838,0.080200655,
cnn,gb1,r3,M0-M1,0,M4,0.026614097,-0.035176093,0.180042638,
cnn,gb1,r3,M0-M2,0,train,0.93723169,0.866066929,0.000569261,25
cnn,gb1,r3,M0-M2,0,M1,-0.295190154,-7.648684038,1.57E-05,
cnn,gb1,r3,M0-M2,0,M2,0.567428714,0.074847244,0.003953079,
cnn,gb1,r3,M0-M2,0,M3,0.416416011,0.112873817,0.069754946,
cnn,gb1,r3,M0-M2,0,M4,0.306850701,0.014091915,0.171484313,
cnn,gb1,r3,M0-M3,0,train,0.9766395,0.953809094,0.002733731,33
cnn,gb1,r3,M0-M3,0,M1,,-1.120122345,3.86E-06,
cnn,gb1,r3,M0-M3,0,M2,0.902744119,0.778660432,0.00094576,
cnn,gb1,r3,M0-M3,0,M3,0.949858542,0.901483912,0.008153197,
