model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,gb1,r1,0,train,0.11855899326776553,-0.02098369598388672,0.11018514446914196,
blstm,gb1,r1,0,F,0.13194897251542187,-0.051821112632751465,0.40467260032892227,
blstm,gb1,r1,0,R,0.09841695448014309,-0.004829287528991699,0.03190219891257584,
blstm,gb1,r1,0,T,0.11408926753504767,-0.01471090316772461,0.07267987914383411,
blstm,gb1,r1,0,Y,0.12205378004064693,-0.05446791648864746,0.3183445334434509,
blstm,gb1,r1,0,G,0.05529782656481419,-0.00021791458129882812,0.005080382514279336,
blstm,gb1,r1,0,I,0.1475755436834656,-0.05495953559875488,0.2994726225733757,
blstm,gb1,r1,0,S,0.09151032471131826,-0.005189657211303711,0.03600306296721101,
blstm,gb1,r1,0,L,0.13851438812679534,-0.06640160083770752,0.38610195368528366,
blstm,gb1,r1,0,K,0.10192543957633843,-0.007539629936218262,0.04803618462756276,
blstm,gb1,r1,0,M,0.1449019808683749,-0.061788082122802734,0.20596329122781754,
blstm,gb1,r1,0,W,0.11005114752899675,-0.06683194637298584,0.5004841387271881,
blstm,gb1,r1,0,D,0.04367402819259386,0.0005109906196594238,0.007403964358672965,
blstm,gb1,r1,0,V,0.1438078186378453,-0.05676066875457764,0.33038075268268585,
blstm,gb1,r1,0,C,0.12102744818657118,-0.038486480712890625,0.10930677689611912,
blstm,gb1,r1,0,P,0.07391183478527696,-0.4415663480758667,0.00030449660334852524,
blstm,gb1,r1,0,A,0.10906656096657574,-0.03181159496307373,0.20466762284437814,
blstm,gb1,r1,0,H,0.11468332503869905,-0.01984572410583496,0.08446634281426668,
blstm,gb1,r1,0,N,0.07653703184248198,0.004253208637237549,0.009549441281706095,
blstm,gb1,r1,0,Q,0.10981138781881761,-0.02042841911315918,0.07549318205565214,
blstm,gb1,r1,1,train,-0.02052756070563963,-0.0849916934967041,0.09027791023254395,
blstm,gb1,r1,1,F,-0.06164567993527115,-0.0736924409866333,0.18932713195681572,
blstm,gb1,r1,1,R,-0.04429740422819295,-0.07563924789428711,0.25613050535321236,
