model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r0,0,train,0.3064540149169403,-11.636735916137695,0.24632154405117035,
blstm,k0,r0,0,D,0.3070925926250257,-17.83263397216797,0.36748524010181427,
blstm,k0,r0,0,C,0.3070909426257086,-13.132596015930176,0.2755679599940777,
blstm,k0,r0,0,E,0.30664204019224506,-10.066524505615234,0.21562755480408669,
blstm,k0,r0,0,F,0.3068680325859705,-11.597867012023926,0.24556177854537964,
blstm,k0,r0,0,G,0.3068779267556352,-17.03923797607422,0.3519665598869324,
blstm,k0,r0,1,train,0.1750456880302318,-23.258047103881836,0.3700847625732422,
blstm,k0,r0,1,D,0.17647010817806563,-26.337770462036133,0.41689207404851913,
blstm,k0,r0,1,C,0.17589520378391743,-13.171014785766602,0.2166745737195015,
blstm,k0,r0,1,E,0.17625201386162925,-11.467906951904297,0.19074849784374237,
blstm,k0,r0,1,F,0.17525391687633196,-24.869815826416016,0.3945831060409546,
blstm,k0,r0,1,G,0.17575058588783243,-14.6591796875,0.23932120203971863,
blstm,k0,r0,2,train,0.015049656311082607,-12.792806625366211,0.28442730009555817,
blstm,k0,r0,2,D,0.016117399037902286,-17.330364227294922,0.3776211515069008,
blstm,k0,r0,2,C,0.01690143198582393,-18.053157806396484,0.39246153086423874,
blstm,k0,r0,2,E,0.01657519449609434,-11.668219566345215,0.2613206095993519,
blstm,k0,r0,2,F,0.015800172359439833,-13.354914665222168,0.2959754467010498,
blstm,k0,r0,2,G,0.01629386323033422,-16.577735900878906,0.36216704547405243,
blstm,k0,r0,3,train,0.11624279855837616,-17.2368221282959,0.3603370785713196,
blstm,k0,r0,3,D,0.11567709265149906,-12.468591690063477,0.26639561355113983,
blstm,k0,r0,3,C,0.11754900484630504,-18.934093475341797,0.39376384019851685,
blstm,k0,r0,3,E,0.11534072627272651,-15.26040267944336,0.32140591740608215,
blstm,k0,r0,3,F,0.11741634975937357,-17.93099594116211,0.3740089163184166,
blstm,k0,r0,3,G,0.11685939855830385,-22.84758758544922,0.4708186835050583,
blstm,k0,r0,4,train,-0.24552102749867477,-19.047143936157227,0.3722087889909744,
blstm,k0,r0,4,D,-0.2440524384602487,-19.66999626159668,0.3837348371744156,
blstm,k0,r0,4,C,-0.24338543689177694,-20.196941375732422,0.39348575472831726,
blstm,k0,r0,4,E,-0.24325060103391338,-18.334941864013672,0.3590283468365669,
blstm,k0,r0,4,F,-0.24503439382263448,-12.056748390197754,0.2427913174033165,
blstm,k0,r0,4,G,-0.24302129751967705,-11.097576141357422,0.22502272203564644,
blstm,k0,r0,5,train,-0.13151274953909708,-13.498113632202148,0.28372829407453537,
blstm,k0,r0,5,D,-0.13509242834386762,-12.420999526977539,0.2627224251627922,
blstm,k0,r0,5,C,-0.13196702801142243,-13.141339302062988,0.27677036076784134,
blstm,k0,r0,5,E,-0.13154298754002425,-12.529895782470703,0.2648465149104595,
blstm,k0,r0,5,F,-0.13649923136224454,-16.454708099365234,0.3413689061999321,
blstm,k0,r0,5,G,-0.1357334922098046,-7.410190582275391,0.16494203731417656,
blstm,k0,r5,0,train,0.04046764784638224,-13.725255966186523,0.18803523480892181,
blstm,k0,r5,0,D,0.04018498490054989,-14.945913314819336,0.20363882929086685,
blstm,k0,r5,0,C,0.040937541356608154,-18.37335205078125,0.24745172634720802,
blstm,k0,r5,0,E,0.040530442874664445,-30.843257904052734,0.4068622440099716,
blstm,k0,r5,0,F,0.04125185382750743,-24.260204315185547,0.3227057680487633,
blstm,k0,r5,0,G,0.04052597876448303,-15.53249740600586,0.21113665774464607,
blstm,k0,r5,1,train,-0.1405541205571026,-27.261987686157227,0.4271579831838608,
blstm,k0,r5,1,D,-0.14078676422019754,-27.23586082458496,0.42676257342100143,
blstm,k0,r5,1,C,-0.14158533022570863,-15.516366958618164,0.24938062950968742,
blstm,k0,r5,1,E,-0.14111682194155922,-19.202442169189453,0.30516158789396286,
blstm,k0,r5,1,F,-0.1418854225990377,-20.58442497253418,0.32607757300138474,
blstm,k0,r5,1,G,-0.14000973030099362,-20.92337989807129,0.3312079608440399,
blstm,k0,r5,2,train,-0.13454632998089266,-18.665889739990234,0.3173804432153702,
blstm,k0,r5,2,D,-0.1339343419266088,-18.494884490966797,0.314612440764904,
blstm,k0,r5,2,C,-0.13342760842033674,-17.438600540161133,0.29751742631196976,
blstm,k0,r5,2,E,-0.13467416353495576,-21.325580596923828,0.36043163388967514,
blstm,k0,r5,2,F,-0.1342541132667514,-15.037435531616211,0.25866110250353813,
blstm,k0,r5,2,G,-0.13361192272691524,-25.221508026123047,0.4235042929649353,
blstm,k0,r5,3,train,-0.10223267749070497,-9.545792579650879,0.16626718640327454,
blstm,k0,r5,3,D,-0.10038193987442501,-19.454715728759766,0.32322022318840027,
blstm,k0,r5,3,C,-0.1053378250675403,-14.916678428649902,0.25131964311003685,
blstm,k0,r5,3,E,-0.10549586001523381,-15.402887344360352,0.25902190059423447,
blstm,k0,r5,3,F,-0.10654365327852355,-13.777365684509277,0.2332730032503605,
blstm,k0,r5,3,G,-0.10363535567549986,-15.403144836425781,0.25902628526091576,
blstm,k0,r5,4,train,0.2837677728808732,-20.673561096191406,0.34176862984895706,
blstm,k0,r5,4,D,0.2839679853020649,-11.815726280212402,0.201750710606575,
blstm,k0,r5,4,C,0.28458698983343433,-18.81939697265625,0.31245072931051254,
blstm,k0,r5,4,E,0.28808188763332854,-19.704500198364258,0.32644524425268173,
blstm,k0,r5,4,F,0.28749176837419954,-20.307004928588867,0.3359718918800354,
blstm,k0,r5,4,G,0.283250666576985,-21.351226806640625,0.35248424112796783,
blstm,k0,r5,5,train,-0.1291484887192096,-14.902826309204102,0.24731435999274254,
blstm,k0,r5,5,D,-0.13012834372250603,-17.401906967163086,0.28631263226270676,
blstm,k0,r5,5,C,-0.12881018121792387,-16.999162673950195,0.28002671897411346,
blstm,k0,r5,5,E,-0.1271203048238374,-16.162019729614258,0.2669627517461777,
blstm,k0,r5,5,F,-0.13182901805396385,-11.017590522766113,0.18670595809817314,
blstm,k0,r5,5,G,-0.13079690561532076,-22.174299240112305,0.3608054742217064,
blstm,k0,r6,0,train,-0.0007757165172516123,-15.464799880981445,0.3020309768617153,
blstm,k0,r6,0,D,-0.0011456340426079237,-19.02419090270996,0.3677487149834633,
blstm,k0,r6,0,C,-0.0008456798192018056,-18.47004508972168,0.3575140908360481,
blstm,k0,r6,0,E,-0.0010565488181972782,-8.80700397491455,0.17929869703948498,
blstm,k0,r6,0,F,-0.0008767015507069598,-14.426473617553711,0.2828712798655033,
blstm,k0,r6,0,G,-0.0012308758069926595,-15.472349166870117,0.3021705709397793,
blstm,k0,r6,1,train,-0.005779972934750521,-15.533000946044922,0.2898426279425621,
blstm,k0,r6,1,D,-0.0067916469554107906,-11.895140647888184,0.2260504849255085,
blstm,k0,r6,1,C,-0.005342426025243095,-21.2127628326416,0.389429971575737,
blstm,k0,r6,1,E,-0.008292686466048416,-16.05204200744629,0.2989436537027359,
blstm,k0,r6,1,F,-0.00603697455099006,-16.58045768737793,0.3082091733813286,
blstm,k0,r6,1,G,-0.006435380382713296,-8.4699068069458,0.16597992554306984,
blstm,k0,r6,2,train,0.04862506710136483,-10.255043029785156,0.19982776790857315,
blstm,k0,r6,2,D,0.04842741844412046,-17.251649856567383,0.3242777809500694,
blstm,k0,r6,2,C,0.04818577312127559,-21.237762451171875,0.3951922878623009,
blstm,k0,r6,2,E,0.04863886813593199,-10.228285789489746,0.19935188442468643,
blstm,k0,r6,2,F,0.04884541171893808,-14.810013771057129,0.2808440737426281,
blstm,k0,r6,2,G,0.04921729262329766,-16.669031143188477,0.3139132782816887,
blstm,k0,r6,3,train,0.15057399925820913,-22.20372772216797,0.4165121614933014,
blstm,k0,r6,3,D,0.15574368930385818,-12.9129638671875,0.2495650239288807,
blstm,k0,r6,3,C,0.15409158409993728,-13.62253475189209,0.26231347024440765,
blstm,k0,r6,3,E,0.1539999799073586,-13.543519973754883,0.26089394465088844,
blstm,k0,r6,3,F,0.15355394139154477,-16.758630752563477,0.3186623081564903,
blstm,k0,r6,3,G,0.15372323714209202,-23.299654006958008,0.43620797246694565,
blstm,k0,r6,4,train,0.00032522694765879656,-11.56212043762207,0.24103962257504463,
blstm,k0,r6,4,D,-0.0013709819604559303,-18.608308792114258,0.3764682039618492,
blstm,k0,r6,4,C,0.0014339203976660997,-18.006921768188477,0.36490802466869354,
blstm,k0,r6,4,E,-9.20223831531869e-06,-15.830734252929688,0.32307907193899155,
blstm,k0,r6,4,F,0.0025658313560260604,-11.623543739318848,0.24221966043114662,
blstm,k0,r6,4,G,0.0014793742468235394,-19.9111270904541,0.40151190757751465,
blstm,k0,r6,5,train,0.034590756266945105,-16.753204345703125,0.37558847665786743,
blstm,k0,r6,5,D,0.0325828864376394,-12.977099418640137,0.2956090047955513,
blstm,k0,r6,5,C,0.04398187310184176,-16.884071350097656,0.37836019694805145,
blstm,k0,r6,5,E,0.033463474791543435,-15.914640426635742,0.35782673209905624,
blstm,k0,r6,5,F,0.03500531521217151,-12.296526908874512,0.28119540587067604,
blstm,k0,r6,5,G,0.035974163286262295,-15.208106994628906,0.3428615555167198,
blstm,k0,r4,0,train,-0.13668561540824503,-13.960172653198242,0.26294606551527977,
blstm,k0,r4,0,D,-0.1350630042106555,-16.40853500366211,0.3060755804181099,
blstm,k0,r4,0,C,-0.13455940270345623,-12.186062812805176,0.2316974401473999,
blstm,k0,r4,0,E,-0.13436589576078778,-15.738174438476562,0.2942662164568901,
blstm,k0,r4,0,F,-0.13504137923940354,-19.397735595703125,0.35873913764953613,
blstm,k0,r4,0,G,-0.13468385778363878,-9.46902847290039,0.18384987860918045,
blstm,k0,r4,1,train,0.06785178190747337,-11.213658332824707,0.20566118508577347,
blstm,k0,r4,1,D,0.068210921912081,-12.104608535766602,0.22074582800269127,
blstm,k0,r4,1,C,0.06797127492616051,-22.491018295288086,0.3968206197023392,
blstm,k0,r4,1,E,0.06871868388925056,-16.423933029174805,0.2939274497330189,
blstm,k0,r4,1,F,0.07097280212450818,-17.932559967041016,0.3195035457611084,
blstm,k0,r4,1,G,0.0682689967566889,-14.218594551086426,0.25655345991253853,
blstm,k0,r4,2,train,-0.07381927941470212,-13.181620597839355,0.25309883803129196,
blstm,k0,r4,2,D,-0.0735295374819489,-18.248750686645508,0.34395962208509445,
blstm,k0,r4,2,C,-0.07532481432908433,-16.059825897216797,0.30469899624586105,
blstm,k0,r4,2,E,-0.07951394007559087,-17.371488571166992,0.3282236158847809,
blstm,k0,r4,2,F,-0.07661602651788368,-9.51424503326416,0.18740182742476463,
blstm,k0,r4,2,G,-0.07684546185479568,-14.69897174835205,0.28029802814126015,
blstm,k0,r4,3,train,-0.0875016966492228,-13.956690788269043,0.26115479320287704,
blstm,k0,r4,3,D,-0.08506273135491327,-24.69495964050293,0.4496288597583771,
blstm,k0,r4,3,C,-0.08616137529549261,-17.525392532348633,0.323759064078331,
blstm,k0,r4,3,E,-0.08577759405302343,-20.25049591064453,0.37158869206905365,
blstm,k0,r4,3,F,-0.08377887911034065,-14.390687942504883,0.26876580715179443,
blstm,k0,r4,3,G,-0.08614123783415151,-16.60957908630371,0.30768952518701553,
blstm,k0,r4,4,train,-0.07445203400514647,-12.100018501281738,0.2140883207321167,
blstm,k0,r4,4,D,-0.07474753820278571,-16.165102005004883,0.280868049710989,
blstm,k0,r4,4,C,-0.07707181769279851,-10.786181449890137,0.19252006337046623,
blstm,k0,r4,4,E,-0.07310216846558004,-20.071443557739258,0.3450877442955971,
blstm,k0,r4,4,F,-0.07526352629026653,-20.28643798828125,0.34862329065799713,
blstm,k0,r4,4,G,-0.07944244838338826,-20.115642547607422,0.34581485390663147,
blstm,k0,r4,5,train,0.29024524724376954,-11.342196464538574,0.20941247791051865,
blstm,k0,r4,5,D,0.29557229562518605,-9.570157051086426,0.1792137399315834,
blstm,k0,r4,5,C,0.29375956400797154,-13.628759384155273,0.2484033703804016,
blstm,k0,r4,5,E,0.29256622925993625,-15.378713607788086,0.2782582566142082,
blstm,k0,r4,5,F,0.29021696741954317,-19.030620574951172,0.3405909612774849,
blstm,k0,r4,5,G,0.2953293520679703,-18.5124568939209,0.33174455165863037,
blstm,k1,r0,0,train,0.07117133347818866,-15.710437774658203,0.2773013263940811,
blstm,k1,r0,0,D,0.05723757742206459,-9.460137367248535,0.24590911716222763,
blstm,k1,r0,0,C,0.0936667839769375,-12.110489845275879,0.23353908583521843,
blstm,k1,r0,0,E,0.0922547606421501,-12.197370529174805,0.20940520986914635,
blstm,k1,r0,0,F,0.1534894124680829,-9.556535720825195,0.23259134963154793,
blstm,k1,r0,0,G,0.17498227678001405,-10.416627883911133,0.24876702949404716,
blstm,k1,r0,1,train,-0.05591609037049172,-12.571202278137207,0.32867276668548584,
blstm,k1,r0,1,D,-0.2632987494259096,-19.052804946899414,0.26040758565068245,
blstm,k1,r0,1,C,-0.06499737271675743,-12.159443855285645,0.32676925510168076,
blstm,k1,r0,1,E,0.12305832153082769,-22.438581466674805,0.3205626457929611,
blstm,k1,r0,1,F,0.04316464357009142,-13.653965950012207,0.3790806233882904,
blstm,k1,r0,1,G,0.015657400753083417,-24.67057228088379,0.3400600999593735,
blstm,k1,r0,2,train,-0.15798825218645351,-17.47064781188965,0.3756285458803177,
blstm,k1,r0,2,D,-0.10151482880221663,-13.930188179016113,0.2554115951061249,
blstm,k1,r0,2,C,-0.20852005331751278,-18.188276290893555,0.34399470686912537,
blstm,k1,r0,2,E,-0.09140328046513149,-16.98261260986328,0.3326607495546341,
blstm,k1,r0,2,F,0.03528782608188141,-16.396284103393555,0.3078768625855446,
blstm,k1,r0,2,G,-0.0644546524013333,-14.80556583404541,0.3434618040919304,
blstm,k1,r0,3,train,0.16503287908868147,-15.228837966918945,0.2543736398220062,
blstm,k1,r0,3,D,0.15608752713487117,-13.02193832397461,0.2666720598936081,
blstm,k1,r0,3,C,0.2106659107728639,-8.608144760131836,0.18907025083899498,
blstm,k1,r0,3,E,0.06056387156359144,-9.980899810791016,0.15794110670685768,
blstm,k1,r0,3,F,0.06717693983603745,-19.4221248626709,0.2727396786212921,
blstm,k1,r0,3,G,0.3407638850977026,-13.012882232666016,0.2925446033477783,
blstm,k1,r0,4,train,0.045366514492861665,-12.053382873535156,0.2857142686843872,
blstm,k1,r0,4,D,0.03387678757088608,-15.921226501464844,0.3294287398457527,
blstm,k1,r0,4,C,0.13971878429910878,-15.995800018310547,0.30413953959941864,
blstm,k1,r0,4,E,-0.09762274480169564,-13.954587936401367,0.3058900535106659,
blstm,k1,r0,4,F,-0.054312871352723,-13.641047477722168,0.27957480400800705,
blstm,k1,r0,4,G,0.003314082127764517,-13.094057083129883,0.2685839906334877,
blstm,k1,r0,5,train,-0.08722797645688438,-16.23719596862793,0.33173079043626785,
blstm,k1,r0,5,D,-0.03464944020852756,-11.229681015014648,0.2511996664106846,
blstm,k1,r0,5,C,0.10766480829035485,-12.884276390075684,0.31725499778985977,
blstm,k1,r0,5,E,0.052424607579212745,-14.934595108032227,0.25319256260991096,
blstm,k1,r0,5,F,0.06482283448871541,-15.907403945922852,0.31520138680934906,
blstm,k1,r0,5,G,-0.04023054296981987,-14.441073417663574,0.2642652466893196,
blstm,k1,r5,0,train,-0.07917042363376292,-13.291994094848633,0.29329925775527954,
blstm,k1,r5,0,D,-0.04783816224488402,-14.60191535949707,0.299146369099617,
blstm,k1,r5,0,C,-0.05332351936984517,-15.479700088500977,0.30395329743623734,
blstm,k1,r5,0,E,-0.010453128998315242,-12.444625854492188,0.2867131009697914,
blstm,k1,r5,0,F,-0.007500219114641604,-17.313430786132812,0.3567965105175972,
blstm,k1,r5,0,G,-0.02968384036150637,-14.252086639404297,0.3360467553138733,
blstm,k1,r5,1,train,0.11818981117853011,-10.065384864807129,0.20978442952036858,
blstm,k1,r5,1,D,0.015171369069402196,-7.494675636291504,0.18383964896202087,
blstm,k1,r5,1,C,0.024297999093595212,-16.212587356567383,0.2802339717745781,
blstm,k1,r5,1,E,-0.03800023430131361,-9.53759765625,0.20027781650424004,
blstm,k1,r5,1,F,-0.016086008513201258,-8.227042198181152,0.20625485479831696,
blstm,k1,r5,1,G,-0.11732660426987368,-9.345588684082031,0.20042488723993301,
blstm,k1,r5,2,train,0.30404536098436075,-9.777538299560547,0.19647833704948425,
blstm,k1,r5,2,D,0.33081858553129917,-13.771698951721191,0.2592874951660633,
blstm,k1,r5,2,C,0.22525120295612394,-10.397204399108887,0.1739836223423481,
blstm,k1,r5,2,E,0.2506170260609153,-11.591512680053711,0.23849818110466003,
blstm,k1,r5,2,F,0.02565689691116635,-8.236991882324219,0.24667638167738914,
blstm,k1,r5,2,G,0.1948042860508828,-13.495598793029785,0.28188300877809525,
blstm,k1,r5,3,train,0.23819016042775054,-9.466544151306152,0.18918755277991295,
blstm,k1,r5,3,D,0.22336772606010769,-7.802424430847168,0.18515409901738167,
blstm,k1,r5,3,C,0.24723746036640915,-6.762342929840088,0.1664438731968403,
blstm,k1,r5,3,E,0.30724813243415783,-12.567602157592773,0.2408616505563259,
blstm,k1,r5,3,F,0.08124514894010793,-9.835981369018555,0.20136192440986633,
blstm,k1,r5,3,G,-0.08542133416625086,-9.833650588989258,0.23556805774569511,
blstm,k1,r5,4,train,-0.14766084444784877,-18.879274368286133,0.28094153106212616,
blstm,k1,r5,4,D,0.07329643684966436,-13.051182746887207,0.23801736906170845,
blstm,k1,r5,4,C,-0.16908007462655772,-8.818374633789062,0.22956782951951027,
blstm,k1,r5,4,E,-0.1624229467041146,-10.82980728149414,0.17695730179548264,
blstm,k1,r5,4,F,-0.1735938792288243,-6.514540195465088,0.1404636614024639,
blstm,k1,r5,4,G,-0.08967976976919328,-8.41362476348877,0.1733350306749344,
blstm,k1,r5,5,train,0.06647738388995098,-14.870210647583008,0.27084219455718994,
blstm,k1,r5,5,D,-0.15978905233379748,-10.627446174621582,0.247050903737545,
blstm,k1,r5,5,C,-0.08930331402416858,-11.55022144317627,0.2725013270974159,
blstm,k1,r5,5,E,-0.04971421106931989,-19.2774715423584,0.35681265592575073,
blstm,k1,r5,5,F,0.11516194420777748,-12.924844741821289,0.26177293062210083,
blstm,k1,r5,5,G,-0.09168977723094951,-10.952414512634277,0.2382626198232174,
blstm,k1,r6,0,train,-0.05609606674063894,-12.843425750732422,0.24357295781373978,
blstm,k1,r6,0,D,-0.1714260900027238,-7.603582382202148,0.2673874534666538,
blstm,k1,r6,0,C,0.01702651241684719,-14.976340293884277,0.3304586783051491,
blstm,k1,r6,0,E,0.13760337859424168,-17.276220321655273,0.24953103065490723,
blstm,k1,r6,0,F,0.0027927781059098322,-12.063934326171875,0.27745796740055084,
blstm,k1,r6,0,G,-0.01459997160374582,-16.998689651489258,0.3304116502404213,
blstm,k1,r6,1,train,-0.08856212655964682,-9.799263000488281,0.22546411678195,
blstm,k1,r6,1,D,0.14555539032101544,-11.172945976257324,0.27057862281799316,
blstm,k1,r6,1,C,0.0005041647590227072,-9.917731285095215,0.2466275915503502,
blstm,k1,r6,1,E,-0.01078360467599418,-9.658390998840332,0.20506058633327484,
blstm,k1,r6,1,F,0.12129652768769805,-8.734115600585938,0.21756751462817192,
blstm,k1,r6,1,G,-0.024019379094734727,-10.953582763671875,0.2399572879076004,
blstm,k1,r6,2,train,-0.08450834985719047,-8.557051658630371,0.22795495018363,
blstm,k1,r6,2,D,-0.18515013143219927,-12.288442611694336,0.2979683354496956,
blstm,k1,r6,2,C,-0.15645888390828072,-10.925528526306152,0.22555840015411377,
blstm,k1,r6,2,E,-0.08539547622166799,-11.08746337890625,0.23392443731427193,
blstm,k1,r6,2,F,-0.2939384514073134,-8.148910522460938,0.22037702426314354,
blstm,k1,r6,2,G,-0.03492467991185322,-11.585319519042969,0.22179674729704857,
blstm,k1,r6,3,train,-0.05452426876825678,-11.17453384399414,0.2782665565609932,
blstm,k1,r6,3,D,-0.18425436659512506,-17.50517463684082,0.3376041576266289,
blstm,k1,r6,3,C,-0.3972800016032312,-17.803569793701172,0.3197323828935623,
blstm,k1,r6,3,E,0.07596822875090226,-11.278185844421387,0.27340615540742874,
blstm,k1,r6,3,F,-0.11935027693400746,-10.600502014160156,0.2718049995601177,
blstm,k1,r6,3,G,-0.2997286602408519,-10.97612190246582,0.2338634729385376,
blstm,k1,r6,4,train,0.02960581698935716,-8.425752639770508,0.2088325433433056,
blstm,k1,r6,4,D,-0.060929744052138024,-11.004855155944824,0.24639472365379333,
blstm,k1,r6,4,C,0.053785268202785286,-10.329458236694336,0.25766995176672935,
blstm,k1,r6,4,E,0.01229508525484567,-11.895709991455078,0.2516702748835087,
blstm,k1,r6,4,F,-0.0037034318257514465,-8.997957229614258,0.2195286564528942,
blstm,k1,r6,4,G,-0.020165760449965653,-9.515674591064453,0.22048477828502655,
blstm,k1,r6,5,train,-0.22615653908614375,-10.103230476379395,0.2052713707089424,
blstm,k1,r6,5,D,0.15673008663823296,-8.412520408630371,0.1754108965396881,
blstm,k1,r6,5,C,-0.12351930153630669,-9.585209846496582,0.2484412118792534,
blstm,k1,r6,5,E,0.07242787692344416,-9.719579696655273,0.26225417852401733,
blstm,k1,r6,5,F,-0.05424560485661706,-10.428943634033203,0.2309710457921028,
blstm,k1,r6,5,G,0.04594026530903328,-9.313522338867188,0.19212521612644196,
blstm,k1,r4,0,train,0.017899811684251088,-10.447354316711426,0.2598332464694977,
blstm,k1,r4,0,D,-0.26815839284621634,-12.541279792785645,0.26279787719249725,
blstm,k1,r4,0,C,-0.24182687205291553,-7.445905685424805,0.2516302950680256,
blstm,k1,r4,0,E,-0.14586959986894876,-9.1859712600708,0.20883988216519356,
blstm,k1,r4,0,F,-0.18514663084352345,-11.93481159210205,0.2906833589076996,
blstm,k1,r4,0,G,-0.10323881930790191,-12.3928804397583,0.23898208141326904,
blstm,k1,r4,1,train,-0.17623307238171904,-8.807209968566895,0.194161556661129,
blstm,k1,r4,1,D,-0.20581999937710793,-12.45846176147461,0.24055346846580505,
blstm,k1,r4,1,C,-0.2503405177790132,-8.267498970031738,0.23510278016328812,
blstm,k1,r4,1,E,-0.02316386986866581,-10.587200164794922,0.20143557339906693,
blstm,k1,r4,1,F,-0.3442874448988127,-13.3721342086792,0.29176001995801926,
blstm,k1,r4,1,G,-0.10998414135085005,-5.987968921661377,0.1538308970630169,
blstm,k1,r4,2,train,0.02595447368153514,-9.298881530761719,0.22137879207730293,
blstm,k1,r4,2,D,0.048855445975645395,-8.028563499450684,0.21458448469638824,
blstm,k1,r4,2,C,0.01654770601221934,-8.04029369354248,0.1941816583275795,
blstm,k1,r4,2,E,0.014390552698444803,-12.883574485778809,0.25524047762155533,
blstm,k1,r4,2,F,0.0412409868930797,-8.382524490356445,0.198850616812706,
blstm,k1,r4,2,G,0.07915277005169807,-6.399656772613525,0.2046070247888565,
blstm,k1,r4,3,train,-0.05839368462334338,-12.405961036682129,0.3071241229772568,
blstm,k1,r4,3,D,-0.1081118147710741,-15.90837287902832,0.3248142972588539,
blstm,k1,r4,3,C,-0.010258593413959405,-14.636398315429688,0.3048209697008133,
blstm,k1,r4,3,E,-0.15510763567043795,-11.231180191040039,0.2879795432090759,
blstm,k1,r4,3,F,-0.08288644089222319,-11.023101806640625,0.2879653647542,
blstm,k1,r4,3,G,-0.10252987802073832,-9.62330436706543,0.28669697791337967,
blstm,k1,r4,4,train,0.11184175588449304,-7.567678451538086,0.16463547199964523,
blstm,k1,r4,4,D,0.338535133625566,-14.458846092224121,0.3177545592188835,
blstm,k1,r4,4,C,0.05258556077298837,-11.880839347839355,0.26931291073560715,
blstm,k1,r4,4,E,0.11693989156607332,-10.549577713012695,0.22700751200318336,
blstm,k1,r4,4,F,-0.1788217619190826,-15.52564811706543,0.2548174448311329,
blstm,k1,r4,4,G,-0.14229410278125698,-9.28006362915039,0.2698100171983242,
blstm,k1,r4,5,train,-0.04601514984427724,-8.58426570892334,0.1881413385272026,
blstm,k1,r4,5,D,-0.03586620516758082,-7.342072486877441,0.18498258292675018,
blstm,k1,r4,5,C,-0.007674821305810674,-6.759131908416748,0.19344551116228104,
blstm,k1,r4,5,E,-0.07856714891271155,-7.595047950744629,0.23266314715147018,
blstm,k1,r4,5,F,-0.065407888033923,-8.472179412841797,0.1798396185040474,
blstm,k1,r4,5,G,-0.004553726021742394,-7.704293251037598,0.20012756437063217,
blstm,k2,r0,0,train,-0.009603547889815767,-14.108380317687988,0.3250908851623535,
blstm,k2,r0,0,D,-0.026082394258311048,-14.55267333984375,0.3128708153963089,
blstm,k2,r0,0,C,0.107512498143846,-13.725137710571289,0.29147107899188995,
blstm,k2,r0,0,E,0.06935991066886604,-14.105145454406738,0.31848857551813126,
blstm,k2,r0,0,F,0.20372906889186967,-10.039464950561523,0.27228814736008644,
blstm,k2,r0,0,G,0.07188416633956518,-13.895020484924316,0.3206478953361511,
blstm,k2,r0,1,train,-0.2326950544619577,-13.650029182434082,0.30947116017341614,
blstm,k2,r0,1,D,-0.14847566732803852,-12.7675199508667,0.3019874505698681,
blstm,k2,r0,1,C,0.06275355736738697,-14.124228477478027,0.334768645465374,
blstm,k2,r0,1,E,-0.053641427152612664,-13.929774284362793,0.3081914186477661,
