model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
mlp,k0,r0,0,train,0.9999022999676248,0.999791979789734,4.67241062850869e-06,
mlp,k0,r0,0,E,0.9998552426850572,0.9996956586837769,5.71482814848423e-06,
mlp,k0,r0,0,D,0.999904345005627,0.9997862577438354,4.1767320908547845e-06,
mlp,k0,r0,0,G,0.9998918630896172,0.9997718930244446,4.357811121735722e-06,
mlp,k0,r0,0,C,0.9998964376569476,0.9997868537902832,4.237826033204328e-06,
mlp,k0,r0,0,F,0.9998604664174988,0.9996902346611024,5.968479854345787e-06,
mlp,k0,r0,1,train,0.999994530776774,0.9999693632125854,6.823981649224726e-07,
mlp,k0,r0,1,E,0.9999823893412848,0.9999447464942932,9.006969889924221e-07,
mlp,k0,r0,1,D,0.999993842344763,0.999942421913147,8.807871267890732e-07,
mlp,k0,r0,1,G,0.999992953795066,0.9999578595161438,6.210449896570935e-07,
mlp,k0,r0,1,C,0.9999916167561856,0.9999608993530272,5.995182732476678e-07,
mlp,k0,r0,1,F,0.9999941074643282,0.9999417662620544,9.036592700795154e-07,
mlp,k0,r0,2,train,0.9999566512340216,0.9998641610145568,3.0592685370241893e-06,
mlp,k0,r0,2,E,0.9999506216617506,0.9998255372047424,3.361457174833049e-06,
mlp,k0,r0,2,D,0.9999587677096868,0.9998780488967896,2.4425542051176308e-06,
mlp,k0,r0,2,G,0.9999604291127752,0.9998857975006104,2.3723673621134367e-06,
mlp,k0,r0,2,C,0.9999599589208004,0.9998127222061156,4.052184067404596e-06,
mlp,k0,r0,2,F,0.9999406719090635,0.9998465180397034,3.128056278001168e-06,
mlp,k0,r0,3,train,0.9998754575429696,0.9995894432067872,9.215558867780552e-06,
mlp,k0,r0,3,E,0.9998404577172274,0.9992064237594604,1.5356856238213368e-05,
mlp,k0,r0,3,D,0.999819005290576,0.999338150024414,1.277717910852516e-05,
mlp,k0,r0,3,G,0.9998889318364036,0.9995756149291992,8.112407158478163e-06,
mlp,k0,r0,3,C,0.9998973240011708,0.9997705221176147,4.490349510888336e-06,
mlp,k0,r0,3,F,0.9998643866581438,0.9994734525680542,1.064713069354184e-05,
mlp,k0,r0,4,train,0.9999700539803602,0.9999385476112366,1.3814230478122848e-06,
