model,landscape,ks_stat,p_value
mlp,k0,1.0,2.2001332500149066e-71
mlp,k1,1.0,2.2001332500149066e-71
mlp,k2,1.0,2.2001332500149066e-71
mlp,k3,1.0,2.2001332500149066e-71
mlp,k4,0.85,1.247561257832528e-44
mlp,k5,0.43333333333333335,1.6906481478075638e-10
gb,k0,0.9916666666666667,5.280319800035776e-69
gb,k1,1.0,2.2001332500149066e-71
gb,k2,1.0,2.2001332500149066e-71
gb,k3,1.0,2.2001332500149066e-71
gb,k4,1.0,2.2001332500149066e-71
gb,k5,0.15,0.13452675443675088
cnn,k0,1.0,2.2001332500149066e-71
cnn,k1,1.0,2.2001332500149066e-71
cnn,k2,1.0,2.2001332500149066e-71
cnn,k3,1.0,2.2001332500149066e-71
cnn,k4,0.7833333333333333,1.0285001404735742e-36
cnn,k5,0.26666666666666666,0.00036795988123661786
linear,k0,1.0,2.2001332500149066e-71
linear,k1,0.475,1.288709055855404e-12
linear,k2,0.4,5.78596018007753e-09
linear,k3,0.55,5.056205252569404e-17
linear,k4,0.6416666666666667,1.480234906963263e-23
linear,k5,0.725,8.89156697283975e-31
transformer,k0,0.9833333333333333,6.309982161042752e-67
transformer,k1,1.0,2.2001332500149066e-71
transformer,k2,1.0,2.2001332500149066e-71
transformer,k3,0.06666666666666667,0.9538360034954086
transformer,k4,0.09166666666666666,0.6966800040199376
transformer,k5,0.14166666666666666,0.18016859606521912
rf,k0,0.8833333333333333,3.607037929479e-49
rf,k1,0.9916666666666667,5.280319800035776e-69
rf,k2,1.0,2.2001332500149066e-71
rf,k3,1.0,2.2001332500149066e-71
rf,k4,1.0,2.2001332500149066e-71
rf,k5,0.125,0.3065582476885422
ulstm,k0,1.0,2.2001332500149066e-71
ulstm,k1,1.0,2.2001332500149066e-71
ulstm,k2,1.0,2.2001332500149066e-71
ulstm,k3,1.0,2.2001332500149066e-71
ulstm,k4,0.6833333333333333,5.3439348321430176e-27
ulstm,k5,0.125,0.3065582476885422
blstm,k0,0.9916666666666667,5.280319800035776e-69
blstm,k1,1.0,2.2001332500149066e-71
blstm,k2,1.0,2.2001332500149066e-71
blstm,k3,1.0,2.2001332500149066e-71
blstm,k4,0.375,6.651099395985279e-08
blstm,k5,0.10833333333333334,0.4836290009396859
