model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r7,0,train,0.9998080168190011,0.999519944190979,9.820897503232118e-06,
blstm,k0,r7,0,G,0.8738037705156494,-3.091031551361084,0.08176678977906704,
blstm,k0,r7,0,F,0.9817054693803294,-0.2105088233947754,0.02429537521675229,
blstm,k0,r7,0,C,0.9868051092561659,0.8417660593986511,0.0033980832376983017,
blstm,k0,r7,0,E,0.9631168455935322,-1.3821957111358643,0.047763973474502563,
blstm,k0,r7,0,D,0.9862852959207122,0.06824558973312378,0.018682148307561874,
blstm,k0,r7,1,train,0.9997659512794291,0.9994416832923889,1.0686150631045166e-05,
blstm,k0,r7,1,G,0.9550446107172595,-9.999629974365234,0.2080909051001072,
blstm,k0,r7,1,F,0.9977646475269212,-0.30132734775543213,0.02476197248324752,
blstm,k0,r7,1,C,0.9868532073510865,0.20165979862213135,0.01513623958453536,
blstm,k0,r7,1,E,0.9855232527223095,-5.398152828216553,0.12144005298614502,
blstm,k0,r7,1,D,0.9968083227574417,-0.32905781269073486,0.025266821030527353,
blstm,k0,r7,2,train,0.9998824640484026,0.9996702671051025,5.644938312343584e-06,
blstm,k0,r7,2,G,0.9992915427680238,-8.37965202331543,0.1637362651526928,
blstm,k0,r7,2,F,0.9946226284929722,0.30118638277053833,0.01217779703438282,
blstm,k0,r7,2,C,0.9943719761302126,0.26299041509628296,0.012839246774092317,
blstm,k0,r7,2,E,0.998745038451262,-4.779591083526611,0.10098947398364544,
blstm,k0,r7,2,D,0.9991676679789475,-0.12949776649475098,0.01971196662634611,
blstm,k0,r7,3,train,0.9997555068597672,0.9993196725845337,1.1536233159858966e-05,
blstm,k0,r7,3,G,0.994304375308903,-7.069061279296875,0.13663971424102783,
blstm,k0,r7,3,F,0.9961482386376392,0.6062039732933044,0.006707475404255092,
blstm,k0,r7,3,C,0.9979904262291759,0.016800224781036377,0.016598106361925602,
blstm,k0,r7,3,E,0.988624439396893,-3.0146756172180176,0.06811227463185787,
blstm,k0,r7,3,D,0.9965271735628229,0.2573326826095581,0.012605376308783889,
blstm,k0,r7,4,train,0.9996470956035112,0.9992204904556274,1.6006412124625058e-05,
blstm,k0,r7,4,G,0.9954463135922407,-1.2504615783691406,0.04591928701847792,
blstm,k0,r7,4,F,0.9988979936324418,0.9734134674072266,0.0005364008829928935,
blstm,k0,r7,4,C,0.9969008545946909,0.9069523811340332,0.001885726087493822,
blstm,k0,r7,4,E,0.9973590914499679,-1.0297198295593262,0.041425169445574284,
blstm,k0,r7,4,D,0.9987944945160929,0.7286943197250366,0.005525877233594656,
blstm,k0,r7,5,train,0.9994217824381951,0.9987116456031799,2.526521075196797e-05,
blstm,k0,r7,5,G,0.9967417396637636,0.9287608861923218,0.0014187313499860466,
blstm,k0,r7,5,F,0.9992434253623119,0.9976797699928284,4.5717657940258505e-05,
blstm,k0,r7,5,C,0.998891652003458,0.9950412511825562,9.58067030296661e-05,
blstm,k0,r7,5,E,0.998653675259515,0.9864258766174316,0.0002626530513225589,
blstm,k0,r7,5,D,0.9992624949632184,0.9789175987243652,0.0004186470541753806,
blstm,k0,r0,0,train,0.9997814853149583,0.9994916319847107,9.921431683324045e-06,
blstm,k0,r0,0,G,0.996154988152582,-7.080344200134277,0.1581103354692459,
blstm,k0,r0,0,F,0.9995342398082447,0.9875532388687134,0.0002450058927934151,
blstm,k0,r0,0,C,0.9949332440370037,-4.281783580780029,0.10314050503075123,
blstm,k0,r0,0,E,0.9968777644036267,-0.860535740852356,0.03625514172017574,
blstm,k0,r0,0,D,0.999589484563682,0.5088438987731934,0.009649176150560379,
blstm,k0,r0,1,train,0.9998192306232188,0.9995805621147156,6.363935654007946e-06,
blstm,k0,r0,1,G,0.9990722942444429,-2.092585563659668,0.0467389477416873,
blstm,k0,r0,1,F,0.9994134068582854,0.9758478403091431,0.0003715429484145716,
blstm,k0,r0,1,C,0.9996125722858664,-1.8146872520446777,0.04254239238798618,
blstm,k0,r0,1,E,0.9997614167108881,-0.35732924938201904,0.020533879287540913,
blstm,k0,r0,1,D,0.9995435536706042,0.7348160743713379,0.0040012404206208885,
blstm,k0,r0,2,train,0.999844055313494,0.9996393918991089,7.437956242029031e-06,
blstm,k0,r0,2,G,0.9982468511536498,0.41896045207977295,0.011997450375929475,
blstm,k0,r0,2,F,0.9992447179152371,0.6192371845245361,0.007779650157317519,
blstm,k0,r0,2,C,0.9986860524647777,-1.652972936630249,0.05448478925973177,
blstm,k0,r0,2,E,0.9989052779889936,0.07159489393234253,0.01909427996724844,
blstm,k0,r0,2,D,0.9993902909926817,-0.4882620573043823,0.03049837239086628,
blstm,k0,r0,3,train,0.9997555845813404,0.9994548559188843,1.0840482900675852e-05,
blstm,k0,r0,3,G,0.994710103116763,0.9759487509727478,0.00046718840167159215,
blstm,k0,r0,3,F,0.9991564311040021,0.6008758544921875,0.007813183823600411,
blstm,k0,r0,3,C,0.9956580171058851,-0.31759071350097656,0.025868169963359833,
blstm,k0,r0,3,E,0.9977082125748736,0.4873531460762024,0.010083089815452695,
blstm,k0,r0,3,D,0.9987856333062308,-0.4931447505950928,0.029302741400897503,
