model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
cnn,k0,r0,0,train,0.9998353768644527,0.9995366334915161,9.108150834435946e-06,
cnn,k0,r0,0,F,0.8110198309492664,0.6574447154998779,0.0067556146532297134,
cnn,k0,r0,0,C,0.8853176834661884,0.45792680978775024,0.01049558469094336,
cnn,k0,r0,0,G,0.9121915180307482,0.007622241973876953,0.019565508235245943,
cnn,k0,r0,0,E,0.9258566673796231,0.7968801856040955,0.003930330858565867,
cnn,k0,r0,0,D,0.888839688320066,-0.09257924556732178,0.021071283146739006,
cnn,k0,r0,1,train,0.9998093908918024,0.9996019601821899,6.046267913006886e-06,
cnn,k0,r0,1,F,0.9737042922503145,0.5010209083557129,0.0076856204541400075,
cnn,k0,r0,1,C,0.9298382816121245,-0.5504531860351562,0.02360624074935913,
cnn,k0,r0,1,G,0.9523604423117575,-0.5186971426010132,0.022428591968491673,
cnn,k0,r0,1,E,0.9617738073285864,0.3558255434036255,0.009656627662479877,
cnn,k0,r0,1,D,0.8565232451236934,0.7268334627151489,0.004039315681438893,
cnn,k0,r0,2,train,0.9997931641685106,0.9993669390678406,1.3070857221464394e-05,
cnn,k0,r0,2,F,0.9229498200717048,0.8364615440368652,0.003345559351146221,
cnn,k0,r0,2,C,0.9659930142389836,-1.3779921531677246,0.048823616467416286,
cnn,k0,r0,2,G,0.960736414129169,-0.19814026355743408,0.024762787390500307,
cnn,k0,r0,2,E,0.9749386820668554,0.21819382905960083,0.0162072388920933,
cnn,k0,r0,2,D,0.9510721910742772,-0.5947356224060059,0.032743615098297596,
cnn,k0,r0,3,train,0.9999126784007538,0.9997442364692688,5.058561328041833e-06,
cnn,k0,r0,3,F,0.9586556200129057,0.23717820644378662,0.01496482640504837,
cnn,k0,r0,3,C,0.9167248334622833,0.8400375843048096,0.0031365666072815657,
cnn,k0,r0,3,G,0.9377456067470951,0.15879732370376587,0.016501481644809246,
cnn,k0,r0,3,E,0.9525188277645964,0.900923490524292,0.0019432229455560446,
cnn,k0,r0,3,D,0.939764511163624,0.5289660692214966,0.009255698882043362,
cnn,k0,r0,4,train,0.9995365814267773,0.9990312457084656,1.7837152881838847e-05,
cnn,k0,r0,4,F,0.9610564119792282,0.36903053522109985,0.0116512521635741,
cnn,k0,r0,4,C,0.9567155858322581,0.5356024503707886,0.008557825814932585,
cnn,k0,r0,4,G,0.9546596473991891,0.7659373879432678,0.004318298539146781,
cnn,k0,r0,4,E,0.967433794323241,0.5769808292388916,0.007792036165483296,
cnn,k0,r0,4,D,0.9748587886371263,0.21901935338974,0.014406622853130102,
cnn,k0,r0,5,train,0.9998653931896223,0.9994123578071594,1.1363613111825543e-05,
cnn,k0,r0,5,F,0.9381663310782232,-0.2837953567504883,0.024941793642938137,
cnn,k0,r0,5,C,0.9325720314202218,0.8113455176353455,0.00366468436550349,
cnn,k0,r0,5,G,0.9232699464626283,0.8027673363685608,0.0038264086470007896,
cnn,k0,r0,5,E,0.9160988686616443,0.7958769798278809,0.003965185373090208,
cnn,k0,r0,5,D,0.877982530909111,0.7088918685913086,0.005655766581185162,
cnn,k0,r5,0,train,0.9991790755316551,0.9980533123016357,2.493453257557121e-05,
cnn,k0,r5,0,F,0.9495861702423203,-1.9454550743103027,0.037330695893615484,
cnn,k0,r5,0,C,0.9568430869087614,-0.7674012184143066,0.02250573690980673,
cnn,k0,r5,0,G,0.9525089517254528,0.3882399797439575,0.007762944558635354,
cnn,k0,r5,0,E,0.9643987888714701,-5.565910339355469,0.08421577699482441,
cnn,k0,r5,0,D,0.9590420565192044,0.8390469551086426,0.002023996436037123,
cnn,k0,r5,1,train,0.9998054533577154,0.9995744228363037,6.509368176921271e-06,
cnn,k0,r5,1,F,0.8994481198415805,0.7949607372283936,0.0031585951219312847,
cnn,k0,r5,1,C,0.9305870393723221,0.4137576222419739,0.009042800753377378,
cnn,k0,r5,1,G,0.9393139348971177,0.6050480604171753,0.006004708498949185,
cnn,k0,r5,1,E,0.8604887184946053,0.058972954750061035,0.014536573144141585,
cnn,k0,r5,1,D,0.9493708745131665,-0.015910625457763672,0.015233231126330793,
cnn,k0,r5,2,train,0.9995237375949664,0.998859703540802,1.8416775219520787e-05,
cnn,k0,r5,2,F,0.968864373507881,0.8982686996459961,0.0016503087827004492,
cnn,k0,r5,2,C,0.9659224162322364,0.7086822986602783,0.004709730623289943,
cnn,k0,r5,2,G,0.9429109418480536,-0.2042982578277588,0.01948990346863866,
cnn,k0,r5,2,E,0.9541813090057649,-0.1860041618347168,0.019136752001941204,
cnn,k0,r5,2,D,0.9089305344227394,0.6841888427734375,0.005115617299452424,
cnn,k0,r5,3,train,0.9995623807745093,0.9990500211715698,1.511415416644013e-05,
cnn,k0,r5,3,F,0.9491453732544662,0.11581557989120483,0.014068109216168523,
cnn,k0,r5,3,C,0.971517721115486,-0.19465374946594238,0.01898781629279256,
cnn,k0,r5,3,G,0.9531301196571136,0.27802419662475586,0.011477573774755001,
cnn,k0,r5,3,E,0.951780663525388,0.06597644090652466,0.014835992129519582,
cnn,k0,r5,3,D,0.9708962338598127,-3.7688565254211426,0.07575048319995403,
cnn,k0,r5,4,train,0.9995712541715976,0.9991414546966553,1.362808552585193e-05,
cnn,k0,r5,4,F,0.9549538872617895,0.8528382182121277,0.002328764647245407,
cnn,k0,r5,4,C,0.9596991410962625,0.8398739695549011,0.0025506028905510902,
cnn,k0,r5,4,G,0.9604943731649931,0.8414982557296753,0.0025232292828150094,
cnn,k0,r5,4,E,0.9734643316834157,0.8906890153884888,0.0017366190149914473,
cnn,k0,r5,4,D,0.9479872611814387,-1.7652552127838135,0.04387290682643652,
cnn,k0,r5,5,train,0.9997315502674113,0.9993959069252014,9.431681064597797e-06,
cnn,k0,r5,5,F,0.8943196599450216,0.7171305418014526,0.004422854515723884,
cnn,k0,r5,5,C,0.9260163933211611,0.5029686689376831,0.007781829102896154,
cnn,k0,r5,5,G,0.9267945805543237,-0.03889358043670654,0.016260395757853985,
cnn,k0,r5,5,E,0.929482947212293,0.7087324857711792,0.0045606521889567375,
cnn,k0,r5,5,D,0.9333560827288452,0.0415310263633728,0.015001095132902265,
cnn,k0,r6,0,train,0.9995041443683104,0.9990079998970032,1.8462164462107467e-05,
cnn,k0,r6,0,F,0.9499617844722155,0.8939989805221558,0.0020524412975646555,
cnn,k0,r6,0,C,0.9319396033190488,0.47638601064682007,0.009487020899541676,
cnn,k0,r6,0,G,0.9336091627684208,0.5016637444496155,0.009103266755118966,
cnn,k0,r6,0,E,0.935818614377053,-0.18402278423309326,0.02281101350672543,
cnn,k0,r6,0,D,0.9177482940960764,0.1307165026664734,0.01575351064093411,
cnn,k0,r6,1,train,0.9999288039823303,0.999849796295166,2.6463475819582527e-06,
cnn,k0,r6,1,F,0.8994673204223811,0.7607976198196411,0.004138810792937875,
cnn,k0,r6,1,C,0.7099171183447743,0.4500354528427124,0.009378384565934539,
cnn,k0,r6,1,G,0.9083034473461589,-0.3714771270751953,0.023724470287561417,
