model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,gb1,r1,0,train,0.15111242920309675,-0.01465141773223877,0.10950601287186146,
blstm,gb1,r1,0,G,0.052184651963404716,-0.01584482192993164,0.005159044230822474,
blstm,gb1,r1,0,S,0.10410419347107758,-0.0001571178436279297,0.03582358965650201,
blstm,gb1,r1,0,C,0.15080076247030208,-0.03048861026763916,0.10846277698874474,
blstm,gb1,r1,0,H,0.1628749594588631,-0.012019753456115723,0.08382211066782475,
blstm,gb1,r1,0,Q,0.13699515141937546,-0.012489795684814453,0.07491026911884546,
blstm,gb1,r1,0,I,0.24725264881696138,-0.048268914222717285,0.2975809946656227,
blstm,gb1,r1,0,P,0.11475665378631661,-1.0347774028778076,0.00043555364391067997,
blstm,gb1,r1,0,W,0.23620353775036573,-0.06137394905090332,0.4979453906416893,
blstm,gb1,r1,0,N,0.08748914743576011,0.0016064643859863281,0.009578602272085845,
blstm,gb1,r1,0,R,0.07398367608786788,-0.0009485483169555664,0.03177953069098294,
blstm,gb1,r1,0,A,0.15710613868415457,-0.025908589363098145,0.20354091127713522,
blstm,gb1,r1,0,F,0.23073916470536637,-0.04631400108337402,0.4025866389274597,
blstm,gb1,r1,0,V,0.24174051773768968,-0.04990994930267334,0.3282497227191925,
blstm,gb1,r1,0,Y,0.2438096818205071,-0.0467756986618042,0.31604763492941856,
blstm,gb1,r1,0,D,0.0096841581689871,-0.012140154838562012,0.00752305616333615,
blstm,gb1,r1,0,L,0.26318438398640465,-0.05911052227020264,0.38348690420389175,
blstm,gb1,r1,0,T,0.13268138598919765,-0.009275078773498535,0.07228451315313578,
blstm,gb1,r1,0,M,0.27210247687051625,-0.05208718776702881,0.20410273969173431,
blstm,gb1,r1,0,K,0.09368884283861825,-0.0035338401794433594,0.04784371145069599,
blstm,gb1,r1,1,train,-0.02675938501267261,-0.07714962959289551,0.08964532241225243,
blstm,gb1,r1,1,G,0.010663291966212518,-0.07617080211639404,0.02987782983109355,
blstm,gb1,r1,1,S,-0.03487235501603525,-0.07079458236694336,0.21185873076319695,
blstm,gb1,r1,1,C,-0.044075210259291786,-0.1073373556137085,0.13138827122747898,
blstm,gb1,r1,1,H,-0.05190120564203582,-0.08712553977966309,0.29152579605579376,
blstm,gb1,r1,1,Q,-0.0384031080676166,-0.08090269565582275,0.09617239981889725,
blstm,gb1,r1,1,I,-0.06082636629335064,-0.08268547058105469,0.25270773470401764,
blstm,gb1,r1,1,P,0.010346252516501453,-0.09384024143218994,0.013840668485499918,
blstm,gb1,r1,1,W,-0.045560170465618555,-0.0724564790725708,0.566814087331295,
blstm,gb1,r1,1,N,-0.04708985350756767,-0.0694589614868164,0.21818818524479866,
blstm,gb1,r1,1,R,-0.05047753561351964,-0.07082211971282959,0.25500721111893654,
blstm,gb1,r1,1,E,-0.02889427369237066,-0.10962569713592529,0.030947326449677348,
blstm,gb1,r1,1,A,-0.03835938830077745,-0.07079839706420898,0.2128763273358345,
blstm,gb1,r1,1,F,-0.04127169208290149,-0.06878042221069336,0.18847175687551498,
blstm,gb1,r1,1,V,-0.05865773401805319,-0.08569943904876709,0.21066806465387344,
blstm,gb1,r1,1,Y,-0.04538993725187512,-0.07213258743286133,0.3510743612423539,
blstm,gb1,r1,1,L,-0.03259221024252401,-0.07877552509307861,0.05223425291478634,
blstm,gb1,r1,1,T,-0.034816770749675374,-0.09275484085083008,0.05149853602051735,
blstm,gb1,r1,1,M,-0.03279934633114978,-0.09656655788421631,0.0461606290191412,
blstm,gb1,r1,1,K,-0.041964896032288035,-0.07165229320526123,0.15040111355483532,
blstm,gb1,r1,2,train,-0.07685418402116362,-0.32265710830688477,7.941773310449207e-05,
blstm,gb1,r1,2,G,-0.014554861930196283,-0.2749089002609253,0.7046913057565689,
blstm,gb1,r1,2,S,-0.06285173851916537,-0.02095174789428711,0.020022969925776124,
blstm,gb1,r1,2,C,-0.1357115512398222,-0.12371540069580078,0.714768186211586,
blstm,gb1,r1,2,H,-0.10489483150468218,-0.2700294256210327,9.05619945115177e-05,
blstm,gb1,r1,2,Q,-0.005073562322767011,-0.0643996000289917,0.00041307056562800426,
blstm,gb1,r1,2,I,-0.0707136182435939,-0.043842434883117676,0.0006085941749915946,
blstm,gb1,r1,2,P,-0.049308873403958633,-0.6527810096740723,6.253309675230412e-05,
blstm,gb1,r1,2,W,0.08213086427778182,0.003621995449066162,0.0026542635532678105,
blstm,gb1,r1,2,N,-0.05978430499168064,-0.010588288307189941,0.0032254685065709054,
blstm,gb1,r1,2,R,-0.023743415030080817,-0.01489245891571045,0.0018783458617690485,
blstm,gb1,r1,2,E,-0.006017003067758528,-0.05692720413208008,0.00032398022540292004,
blstm,gb1,r1,2,A,-0.1279117331308559,-0.08602869510650635,0.49549101293087006,
blstm,gb1,r1,2,F,-0.077157252493806,-0.0886833667755127,0.45943378284573555,
blstm,gb1,r1,2,V,-0.09271930472430578,-0.018920302391052246,0.007981458329595625,
blstm,gb1,r1,2,Y,-0.11494209941370703,-0.050182223320007324,0.03247828083112836,
blstm,gb1,r1,2,D,-0.05584603390823434,-1.6956825256347656,6.197712809807854e-05,
blstm,gb1,r1,2,L,-0.11970936724706394,-0.09454798698425293,0.6099555045366287,
blstm,gb1,r1,2,M,-0.10997415990757453,-0.07223570346832275,0.2147100605070591,
