model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r5,0,train,0.9925935774371655,0.9804699420928955,0.00024824385036481544,
blstm,k0,r5,0,G,0.9624513722436612,-2.487388849258423,0.04448735062032938,
blstm,k0,r5,0,F,0.9807127027898113,-4.670674800872803,0.07250233180820942,
blstm,k0,r5,0,C,0.9600482843908419,-5.636026382446289,0.08476301282644272,
blstm,k0,r5,0,E,0.965539607143069,-11.573545455932617,0.16061532124876976,
blstm,k0,r5,0,D,0.9761327832627471,-0.676260232925415,0.02138116303831339,
blstm,k0,r5,1,train,0.87605745974877,0.7439882159233093,0.003889907675329596,
blstm,k0,r5,1,G,0.878532014707259,-1.314894437789917,0.035292137414216995,
blstm,k0,r5,1,F,0.8675605233420173,-0.757326602935791,0.026642521377652884,
blstm,k0,r5,1,C,0.873236420495443,-2.4410014152526855,0.0522738266736269,
blstm,k0,r5,1,E,0.8693299747889379,-3.6321754455566406,0.07029211707413197,
blstm,k0,r5,1,D,0.8755903140828621,0.38340944051742554,0.009442085516639054,
blstm,k0,r5,2,train,0.99463289994046,0.9843910336494446,0.00025033281053765677,
blstm,k0,r5,2,G,0.9913053173082087,0.4030582904815674,0.009694080334156752,
blstm,k0,r5,2,F,0.9841364713088881,0.9596890211105347,0.0006404703162843361,
blstm,k0,r5,2,C,0.9830500343690944,0.81315678358078,0.0030217667226679623,
blstm,k0,r5,2,E,0.9741837284095485,0.4721218943595886,0.00858839915599674,
blstm,k0,r5,2,D,0.982498233438579,-0.09242260456085205,0.01774499285966158,
blstm,k0,r5,3,train,0.9563899714655143,0.9113844037055969,0.0013992312015034258,
blstm,k0,r5,3,G,0.9548967700574449,0.7273072004318237,0.0043488480150699615,
blstm,k0,r5,3,F,0.9560061562080908,0.09181326627731323,0.014453389216214418,
blstm,k0,r5,3,C,0.9552189659672112,0.0029773712158203125,0.01588180847465992,
blstm,k0,r5,3,E,0.9547246938495679,0.5032186508178711,0.007911271881312132,
blstm,k0,r5,3,D,0.94983354128716,-4.191837310791016,0.0826294906437397,
blstm,k0,r5,4,train,0.8021520840865938,0.6392403841018677,0.005653656902723014,
blstm,k0,r5,4,G,0.8002940926040775,0.4010174870491028,0.009362856158986688,
blstm,k0,r5,4,F,0.8050516725212189,0.6355519890785217,0.005703425733372569,
blstm,k0,r5,4,C,0.8049845622172926,0.2989897131919861,0.01098364475183189,
blstm,k0,r5,4,E,0.8043814799697286,0.47099071741104126,0.008276122040115297,
blstm,k0,r5,4,D,0.8021748000784569,-2.456592082977295,0.05447250045835972,
blstm,k0,r5,5,train,0.8545122138007348,0.7085976600646973,0.00453387142624706,
blstm,k0,r5,5,G,0.8525088909691054,-1.160161018371582,0.0337388226762414,
blstm,k0,r5,5,F,0.8526011272882691,0.7265007495880127,0.004249171353876591,
blstm,k0,r5,5,C,0.8522159455336524,-0.3242229223251343,0.02066125813871622,
blstm,k0,r5,5,E,0.8526155304939569,-0.03545832633972168,0.016147478250786662,
blstm,k0,r5,5,D,0.8526265411095254,-2.0510220527648926,0.04763523396104574,
blstm,k0,r4,0,train,0.9816594698593841,0.9621848464012146,0.0006645445537287742,
blstm,k0,r4,0,G,0.9799731800022821,-0.8825929164886475,0.03327049594372511,
