model,landscape,replicate,fixed_site,data_split,mean_absolute_effects
blstm,k0,r0,0,E,0.033321153
blstm,k0,r0,0,F,0.0009059278
blstm,k0,r0,0,C,0.029822513
blstm,k0,r0,0,D,0.113561615
blstm,k0,r0,0,G,0.09997083
blstm,k0,r0,1,E,0.17604595
blstm,k0,r0,1,F,0.02096456
blstm,k0,r0,1,C,0.14656663
blstm,k0,r0,1,D,0.037673164
blstm,k0,r0,1,G,0.1219203
blstm,k0,r0,2,E,0.023225624
blstm,k0,r0,2,F,0.011164569
blstm,k0,r0,2,C,0.09611891
blstm,k0,r0,2,D,0.08424418
blstm,k0,r0,2,G,0.07068165
blstm,k0,r0,3,E,0.03369187
blstm,k0,r0,3,F,0.011814398
blstm,k0,r0,3,C,0.029885465
blstm,k0,r0,3,D,0.08534302
blstm,k0,r0,3,G,0.089679465
blstm,k0,r0,4,E,0.0103435125
blstm,k0,r0,4,F,0.122210406
blstm,k0,r0,4,C,0.019630793
blstm,k0,r0,4,D,0.0077043874
blstm,k0,r0,4,G,0.13756621
blstm,k0,r0,5,E,0.016521301
blstm,k0,r0,5,F,0.058761384
blstm,k0,r0,5,C,0.0057224794
blstm,k0,r0,5,D,0.020496713
blstm,k0,r0,5,G,0.12907268
blstm,k0,r5,0,E,0.20926572
blstm,k0,r5,0,F,0.13767095
blstm,k0,r5,0,C,0.065953836
blstm,k0,r5,0,D,0.018516796
blstm,k0,r5,0,G,0.026887167
blstm,k0,r5,1,E,0.103807
blstm,k0,r5,1,F,0.083634384
blstm,k0,r5,1,C,0.15820572
blstm,k0,r5,1,D,0.0007388553
blstm,k0,r5,1,G,0.080022685
blstm,k0,r5,2,E,0.03706935
blstm,k0,r5,2,F,0.057612713
blstm,k0,r5,2,C,0.018834224
blstm,k0,r5,2,D,0.0026267162
blstm,k0,r5,2,G,0.0884459
blstm,k0,r5,3,E,0.10333085
blstm,k0,r5,3,F,0.07708268
blstm,k0,r5,3,C,0.097211346
blstm,k0,r5,3,D,0.16658758
blstm,k0,r5,3,G,0.10435043
blstm,k0,r5,4,E,0.008586517
blstm,k0,r5,4,F,0.0071242736
blstm,k0,r5,4,C,0.026050717
blstm,k0,r5,4,D,0.13546696
blstm,k0,r5,4,G,0.012230428
blstm,k0,r5,5,E,0.017312061
blstm,k0,r5,5,F,0.06437873
blstm,k0,r5,5,C,0.03099595
blstm,k0,r5,5,D,0.04597736
blstm,k0,r5,5,G,0.107806295
blstm,k0,r6,0,E,0.13148381
blstm,k0,r6,0,F,0.018978441
blstm,k0,r6,0,C,0.049720168
blstm,k0,r6,0,D,0.058258403
blstm,k0,r6,0,G,0.0003021555
blstm,k0,r6,1,E,0.008547694
blstm,k0,r6,1,F,0.01722625
blstm,k0,r6,1,C,0.08781884
blstm,k0,r6,1,D,0.06583562
blstm,k0,r6,1,G,0.13637103
blstm,k0,r6,2,E,3.5414512e-05
blstm,k0,r6,2,F,0.08763305
blstm,k0,r6,2,C,0.18801641
blstm,k0,r6,2,D,0.12751746
blstm,k0,r6,2,G,0.11889264
blstm,k0,r6,3,E,0.13864918
blstm,k0,r6,3,F,0.08303561
blstm,k0,r6,3,C,0.13616036
blstm,k0,r6,3,D,0.15027681
blstm,k0,r6,3,G,0.0148428455
blstm,k0,r6,4,E,0.07746369
blstm,k0,r6,4,F,0.0032816776
blstm,k0,r6,4,C,0.11486473
blstm,k0,r6,4,D,0.12526044
blstm,k0,r6,4,G,0.14234586
blstm,k0,r6,5,E,0.011696366
blstm,k0,r6,5,F,0.09058597
blstm,k0,r6,5,C,0.00082959386
blstm,k0,r6,5,D,0.07446305
blstm,k0,r6,5,G,0.028331894
blstm,k0,r4,0,E,0.031086477
blstm,k0,r4,0,F,0.08901338
blstm,k0,r4,0,C,0.032262083
blstm,k0,r4,0,D,0.04232037
blstm,k0,r4,0,G,0.087184906
blstm,k0,r4,1,E,0.09087613
blstm,k0,r4,1,F,0.11507605
blstm,k0,r4,1,C,0.18132819
blstm,k0,r4,1,D,0.017186211
blstm,k0,r4,1,G,0.054427084
blstm,k0,r4,2,E,0.07103872
blstm,k0,r4,2,F,0.07341272
blstm,k0,r4,2,C,0.050104234
blstm,k0,r4,2,D,0.085438356
blstm,k0,r4,2,G,0.025826493
blstm,k0,r4,3,E,0.10029189
blstm,k0,r4,3,F,0.005446962
blstm,k0,r4,3,C,0.05855532
blstm,k0,r4,3,D,0.16317853
blstm,k0,r4,3,G,0.045568902
blstm,k0,r4,4,E,0.13144732
blstm,k0,r4,4,F,0.13490942
blstm,k0,r4,4,C,0.024949523
blstm,k0,r4,4,D,0.07381185
blstm,k0,r4,4,G,0.13250613
blstm,k0,r4,5,E,0.090680376
blstm,k0,r4,5,F,0.13541605
blstm,k0,r4,5,C,0.0410146
blstm,k0,r4,5,D,0.025168866
blstm,k0,r4,5,G,0.123756126
blstm,k1,r0,0,E,0.072474636
blstm,k1,r0,0,F,0.07904756
blstm,k1,r0,0,C,0.06898957
blstm,k1,r0,0,D,0.06262658
blstm,k1,r0,0,G,0.07207204
blstm,k1,r0,1,E,0.10957023
blstm,k1,r0,1,F,0.11089169
blstm,k1,r0,1,C,0.099944234
blstm,k1,r0,1,D,0.11134657
blstm,k1,r0,1,G,0.14252236
blstm,k1,r0,2,E,0.054089386
blstm,k1,r0,2,F,0.09624714
blstm,k1,r0,2,C,0.06971639
blstm,k1,r0,2,D,0.10765084
blstm,k1,r0,2,G,0.052148893
blstm,k1,r0,3,E,0.14587365
blstm,k1,r0,3,F,0.10912472
blstm,k1,r0,3,C,0.15471792
blstm,k1,r0,3,D,0.118994206
blstm,k1,r0,3,G,0.11034477
blstm,k1,r0,4,E,0.058726355
blstm,k1,r0,4,F,0.06343503
blstm,k1,r0,4,C,0.06806648
blstm,k1,r0,4,D,0.043095544
blstm,k1,r0,4,G,0.023189116
blstm,k1,r0,5,E,0.10888051
blstm,k1,r0,5,F,0.06615981
blstm,k1,r0,5,C,0.078429975
blstm,k1,r0,5,D,0.12869467
blstm,k1,r0,5,G,0.09108585
blstm,k1,r5,0,E,0.05193445
blstm,k1,r5,0,F,0.07497459
blstm,k1,r5,0,C,0.04848569
blstm,k1,r5,0,D,0.039976567
blstm,k1,r5,0,G,0.050787468
blstm,k1,r5,1,E,0.071880594
blstm,k1,r5,1,F,0.08298298
blstm,k1,r5,1,C,0.1001442
blstm,k1,r5,1,D,0.063869536
blstm,k1,r5,1,G,0.08377194
blstm,k1,r5,2,E,0.080608204
blstm,k1,r5,2,F,0.1069403
blstm,k1,r5,2,C,0.07927193
blstm,k1,r5,2,D,0.080494195
blstm,k1,r5,2,G,0.10071005
blstm,k1,r5,3,E,0.102472074
blstm,k1,r5,3,F,0.074084766
blstm,k1,r5,3,C,0.09759834
blstm,k1,r5,3,D,0.095189616
blstm,k1,r5,3,G,0.110313125
blstm,k1,r5,4,E,0.13408011
blstm,k1,r5,4,F,0.1764243
blstm,k1,r5,4,C,0.116252795
blstm,k1,r5,4,D,0.10242636
blstm,k1,r5,4,G,0.14404911
blstm,k1,r5,5,E,0.10770768
blstm,k1,r5,5,F,0.07470082
blstm,k1,r5,5,C,0.088506095
blstm,k1,r5,5,D,0.070225455
blstm,k1,r5,5,G,0.09884234
blstm,k1,r6,0,E,0.09100707
blstm,k1,r6,0,F,0.12786052
blstm,k1,r6,0,C,0.1357587
blstm,k1,r6,0,D,0.13494647
blstm,k1,r6,0,G,0.083543375
blstm,k1,r6,1,E,0.06264669
blstm,k1,r6,1,F,0.07342528
blstm,k1,r6,1,C,0.05338197
blstm,k1,r6,1,D,0.060784437
blstm,k1,r6,1,G,0.050696306
blstm,k1,r6,2,E,0.09518846
blstm,k1,r6,2,F,0.10247735
blstm,k1,r6,2,C,0.07107714
blstm,k1,r6,2,D,0.13042106
blstm,k1,r6,2,G,0.07982081
blstm,k1,r6,3,E,0.07931938
blstm,k1,r6,3,F,0.13950396
blstm,k1,r6,3,C,0.12396603
blstm,k1,r6,3,D,0.1266287
blstm,k1,r6,3,G,0.13473175
blstm,k1,r6,4,E,0.06478154
blstm,k1,r6,4,F,0.040970616
blstm,k1,r6,4,C,0.06601004
blstm,k1,r6,4,D,0.08117121
blstm,k1,r6,4,G,0.05470313
blstm,k1,r6,5,E,0.115785256
blstm,k1,r6,5,F,0.077410236
blstm,k1,r6,5,C,0.07092183
blstm,k1,r6,5,D,0.09554918
blstm,k1,r6,5,G,0.078708366
blstm,k1,r4,0,E,0.1031584
blstm,k1,r4,0,F,0.07731339
blstm,k1,r4,0,C,0.096530855
blstm,k1,r4,0,D,0.10950439
blstm,k1,r4,0,G,0.07805915
blstm,k1,r4,1,E,0.09974513
blstm,k1,r4,1,F,0.13470794
blstm,k1,r4,1,C,0.10676661
blstm,k1,r4,1,D,0.13634244
blstm,k1,r4,1,G,0.12712188
blstm,k1,r4,2,E,0.053323314
blstm,k1,r4,2,F,0.07492434
blstm,k1,r4,2,C,0.082977705
blstm,k1,r4,2,D,0.061289232
blstm,k1,r4,2,G,0.07676639
blstm,k1,r4,3,E,0.07650548
blstm,k1,r4,3,F,0.04344239
blstm,k1,r4,3,C,0.065130465
blstm,k1,r4,3,D,0.056157045
blstm,k1,r4,3,G,0.061077468
blstm,k1,r4,4,E,0.110554904
blstm,k1,r4,4,F,0.14339899
blstm,k1,r4,4,C,0.18929905
blstm,k1,r4,4,D,0.1934212
blstm,k1,r4,4,G,0.16645493
blstm,k1,r4,5,E,0.13419217
blstm,k1,r4,5,F,0.058109
blstm,k1,r4,5,C,0.075272515
blstm,k1,r4,5,D,0.09539128
blstm,k1,r4,5,G,0.10996454
blstm,k2,r0,0,E,0.13877743
blstm,k2,r0,0,F,0.13661143
blstm,k2,r0,0,C,0.1376478
blstm,k2,r0,0,D,0.12849073
blstm,k2,r0,0,G,0.14026684
blstm,k2,r0,1,E,0.11307411
blstm,k2,r0,1,F,0.1095315
blstm,k2,r0,1,C,0.12434921
blstm,k2,r0,1,D,0.12287307
blstm,k2,r0,1,G,0.12958996
blstm,k2,r0,2,E,0.099254355
blstm,k2,r0,2,F,0.09909557
blstm,k2,r0,2,C,0.09641168
blstm,k2,r0,2,D,0.09321973
blstm,k2,r0,2,G,0.092354104
blstm,k2,r0,3,E,0.13602224
blstm,k2,r0,3,F,0.11447654
blstm,k2,r0,3,C,0.107168116
blstm,k2,r0,3,D,0.11545734
blstm,k2,r0,3,G,0.14479113
blstm,k2,r0,4,E,0.09108577
blstm,k2,r0,4,F,0.086877756
blstm,k2,r0,4,C,0.091459736
blstm,k2,r0,4,D,0.08470762
blstm,k2,r0,4,G,0.07962354
