model,landscape,replicate,fixed_site,data_split,mean_absolute_effects
blstm,k0,r5,0,C,0.065953836
blstm,k0,r5,0,E,0.20926572
blstm,k0,r5,0,F,0.13767095
blstm,k0,r5,0,D,0.018516796
blstm,k0,r5,0,G,0.026887167
blstm,k0,r5,1,C,0.15820572
blstm,k0,r5,1,E,0.103807
blstm,k0,r5,1,F,0.083634384
blstm,k0,r5,1,D,0.0007388553
blstm,k0,r5,1,G,0.080022685
blstm,k0,r5,2,C,0.018834224
blstm,k0,r5,2,E,0.03706935
blstm,k0,r5,2,F,0.057612713
blstm,k0,r5,2,D,0.0026267162
blstm,k0,r5,2,G,0.0884459
blstm,k0,r5,3,C,0.097211346
blstm,k0,r5,3,E,0.10333085
blstm,k0,r5,3,F,0.07708268
blstm,k0,r5,3,D,0.16658758
blstm,k0,r5,3,G,0.10435043
blstm,k0,r5,4,C,0.026050717
blstm,k0,r5,4,E,0.008586517
blstm,k0,r5,4,F,0.0071242736
blstm,k0,r5,4,D,0.13546696
blstm,k0,r5,4,G,0.012230428
blstm,k0,r5,5,C,0.03099595
blstm,k0,r5,5,E,0.017312061
blstm,k0,r5,5,F,0.06437873
blstm,k0,r5,5,D,0.04597736
blstm,k0,r5,5,G,0.107806295
blstm,k0,r4,0,C,0.032262083
blstm,k0,r4,0,E,0.031086477
blstm,k0,r4,0,F,0.08901338
blstm,k0,r4,0,D,0.04232037
blstm,k0,r4,0,G,0.087184906
blstm,k0,r4,1,C,0.18132819
blstm,k0,r4,1,E,0.09087613
blstm,k0,r4,1,F,0.11507605
blstm,k0,r4,1,D,0.017186211
blstm,k0,r4,1,G,0.054427084
blstm,k0,r4,2,C,0.050104234
blstm,k0,r4,2,E,0.07103872
blstm,k0,r4,2,F,0.07341272
blstm,k0,r4,2,D,0.085438356
blstm,k0,r4,2,G,0.025826493
blstm,k0,r4,3,C,0.05855532
blstm,k0,r4,3,E,0.10029189
blstm,k0,r4,3,F,0.005446962
blstm,k0,r4,3,D,0.16317853
blstm,k0,r4,3,G,0.045568902
blstm,k0,r4,4,C,0.024949523
blstm,k0,r4,4,E,0.13144732
blstm,k0,r4,4,F,0.13490942
blstm,k0,r4,4,D,0.07381185
blstm,k0,r4,4,G,0.13250613
blstm,k0,r4,5,C,0.0410146
blstm,k0,r4,5,E,0.090680376
blstm,k0,r4,5,F,0.13541605
blstm,k0,r4,5,D,0.025168866
blstm,k0,r4,5,G,0.123756126
blstm,k0,r7,0,C,0.116094604
blstm,k0,r7,0,E,0.032379057
blstm,k0,r7,0,F,0.009122287
blstm,k0,r7,0,D,0.028784497
blstm,k0,r7,0,G,0.058759052
blstm,k0,r7,1,C,0.006120513
blstm,k0,r7,1,E,0.1496514
blstm,k0,r7,1,F,0.1115445
blstm,k0,r7,1,D,0.038433097
blstm,k0,r7,1,G,0.12612006
blstm,k0,r7,2,C,0.025340116
blstm,k0,r7,2,E,0.17269878
blstm,k0,r7,2,F,0.041790664
blstm,k0,r7,2,D,0.09875147
blstm,k0,r7,2,G,0.19174853
blstm,k0,r7,3,C,0.14630966
blstm,k0,r7,3,E,0.009304398
blstm,k0,r7,3,F,0.0047749346
blstm,k0,r7,3,D,0.016726132
blstm,k0,r7,3,G,0.16595675
blstm,k0,r7,4,C,0.0070170746
blstm,k0,r7,4,E,0.11003292
blstm,k0,r7,4,F,0.03268728
blstm,k0,r7,4,D,0.042255573
blstm,k0,r7,4,G,0.019493535
blstm,k0,r7,5,C,0.113901645
blstm,k0,r7,5,E,0.18219735
blstm,k0,r7,5,F,0.059143968
blstm,k0,r7,5,D,0.08768053
blstm,k0,r7,5,G,0.06444408
blstm,k0,r2,0,C,0.041663203
blstm,k0,r2,0,E,0.11297522
blstm,k0,r2,0,F,0.048796885
blstm,k0,r2,0,D,0.06761956
blstm,k0,r2,0,G,0.020732798
blstm,k0,r2,1,C,0.0039045508
blstm,k0,r2,1,E,0.028442733
blstm,k0,r2,1,F,0.030477015
blstm,k0,r2,1,D,0.15461434
blstm,k0,r2,1,G,0.02349569
blstm,k0,r2,2,C,0.16631182
blstm,k0,r2,2,E,0.158874
blstm,k0,r2,2,F,0.09177799
blstm,k0,r2,2,D,0.04381674
blstm,k0,r2,2,G,0.15738706
blstm,k0,r2,3,C,0.090098314
blstm,k0,r2,3,E,0.076035224
blstm,k0,r2,3,F,0.02827244
blstm,k0,r2,3,D,0.10378741
blstm,k0,r2,3,G,0.015753046
blstm,k0,r2,4,C,0.055757366
blstm,k0,r2,4,E,0.10183562
blstm,k0,r2,4,F,0.056899484
blstm,k0,r2,4,D,0.065788396
blstm,k0,r2,4,G,0.053406358
blstm,k0,r2,5,C,0.028567879
blstm,k0,r2,5,E,0.15568092
blstm,k0,r2,5,F,0.049777694
blstm,k0,r2,5,D,0.047482513
blstm,k0,r2,5,G,0.029613012
blstm,k1,r5,0,C,0.04848569
blstm,k1,r5,0,E,0.05193445
blstm,k1,r5,0,F,0.07497459
blstm,k1,r5,0,D,0.039976567
blstm,k1,r5,0,G,0.050787468
blstm,k1,r5,1,C,0.1001442
blstm,k1,r5,1,E,0.071880594
blstm,k1,r5,1,F,0.08298298
blstm,k1,r5,1,D,0.063869536
blstm,k1,r5,1,G,0.08377194
blstm,k1,r5,2,C,0.07927193
blstm,k1,r5,2,E,0.080608204
blstm,k1,r5,2,F,0.1069403
blstm,k1,r5,2,D,0.080494195
blstm,k1,r5,2,G,0.10071005
blstm,k1,r5,3,C,0.09759834
blstm,k1,r5,3,E,0.102472074
blstm,k1,r5,3,F,0.074084766
blstm,k1,r5,3,D,0.095189616
blstm,k1,r5,3,G,0.110313125
blstm,k1,r5,4,C,0.116252795
blstm,k1,r5,4,E,0.13408011
blstm,k1,r5,4,F,0.1764243
blstm,k1,r5,4,D,0.10242636
blstm,k1,r5,4,G,0.14404911
blstm,k1,r5,5,C,0.088506095
blstm,k1,r5,5,E,0.10770768
blstm,k1,r5,5,F,0.07470082
blstm,k1,r5,5,D,0.070225455
blstm,k1,r5,5,G,0.09884234
blstm,k1,r4,0,C,0.096530855
blstm,k1,r4,0,E,0.1031584
blstm,k1,r4,0,F,0.07731339
blstm,k1,r4,0,D,0.10950439
blstm,k1,r4,0,G,0.07805915
blstm,k1,r4,1,C,0.10676661
blstm,k1,r4,1,E,0.09974513
blstm,k1,r4,1,F,0.13470794
blstm,k1,r4,1,D,0.13634244
blstm,k1,r4,1,G,0.12712188
blstm,k1,r4,2,C,0.082977705
blstm,k1,r4,2,E,0.053323314
blstm,k1,r4,2,F,0.07492434
blstm,k1,r4,2,D,0.061289232
blstm,k1,r4,2,G,0.07676639
blstm,k1,r4,3,C,0.065130465
blstm,k1,r4,3,E,0.07650548
blstm,k1,r4,3,F,0.04344239
blstm,k1,r4,3,D,0.056157045
blstm,k1,r4,3,G,0.061077468
blstm,k1,r4,4,C,0.18929905
blstm,k1,r4,4,E,0.110554904
blstm,k1,r4,4,F,0.14339899
blstm,k1,r4,4,D,0.1934212
blstm,k1,r4,4,G,0.16645493
blstm,k1,r4,5,C,0.075272515
blstm,k1,r4,5,E,0.13419217
blstm,k1,r4,5,F,0.058109
blstm,k1,r4,5,D,0.09539128
blstm,k1,r4,5,G,0.10996454
blstm,k1,r7,0,C,0.08803403
blstm,k1,r7,0,E,0.10525134
blstm,k1,r7,0,F,0.11706026
blstm,k1,r7,0,D,0.11372214
blstm,k1,r7,0,G,0.117589734
blstm,k1,r7,1,C,0.12928006
